SESSO,DATA IMMIGRAZIONE,COMUNE DI PROVENIENZA,PROVINCIA DI PROVENIENZA,STATO DI PROVENIENZA
F,08-11-2000,CAORLE,VE,ITALIA
M,18-11-2000,,,CROAZIA
F,25-11-2000,,,ESTERO
M,25-11-2000,,,GERMANIA
M,25-11-2000,,,GERMANIA
M,25-11-2000,,,GERMANIA
M,30-11-2000,QUARTU SANT'ELENA,CA,ITALIA
F,30-11-2000,QUARTU SANT'ELENA,CA,ITALIA
M,01-12-2000,SERLE,BS,ITALIA
F,02-12-2000,ALESSANDRIA,AL,ITALIA
F,02-12-2000,MOTTA DI LIVENZA,TV,ITALIA
M,02-12-2000,MOTTA DI LIVENZA,TV,ITALIA
F,02-12-2000,MOTTA DI LIVENZA,TV,ITALIA
M,02-12-2000,MOTTA DI LIVENZA,TV,ITALIA
F,04-12-2000,CAORLE,VE,ITALIA
M,04-12-2000,CAORLE,VE,ITALIA
F,05-12-2000,FOSSALTA DI PIAVE,VE,ITALIA
F,05-12-2000,FOSSALTA DI PIAVE,VE,ITALIA
F,07-12-2000,SESTO AL REGHENA,PN,ITALIA
F,12-12-2000,SAN DONÀ DI PIAVE,VE,ITALIA
F,16-12-2000,CAORLE,VE,ITALIA
M,16-12-2000,CAORLE,VE,ITALIA
F,21-12-2000,TORRE DI MOSTO,VE,ITALIA
F,22-12-2000,ANNONE VENETO,VE,ITALIA
M,30-12-2000,PORTOGRUARO,VE,ITALIA
F,04-01-2001,FORCOLA,SO,ITALIA
F,05-01-2001,TORRE DI MOSTO,VE,ITALIA
M,05-01-2001,TORRE DI MOSTO,VE,ITALIA
M,08-01-2001,CAORLE,VE,ITALIA
F,08-01-2001,CAORLE,VE,ITALIA
F,09-01-2001,,,BOSNIA-ERZEGOVINA
M,10-01-2001,CEGGIA,VE,ITALIA
F,13-01-2001,CAORLE,VE,ITALIA
M,13-01-2001,,,ROMANIA
M,24-01-2001,PONTE DI PIAVE,TV,ITALIA
M,27-01-2001,BRACCIANO,RM,ITALIA
M,27-01-2001,,,BOSNIA-ERZEGOVINA
M,05-02-2001,ROMA,RM,ITALIA
M,06-02-2001,CESSALTO,TV,ITALIA
M,05-03-2001,MUSILE DI PIAVE,VE,ITALIA
F,02-04-2001,SAN DONÀ DI PIAVE,VE,ITALIA
F,02-04-2001,,,SVIZZERA
M,10-04-2001,ROMA,RM,ITALIA
F,10-04-2001,ROMA,RM,ITALIA
M,11-04-2001,CAORLE,VE,ITALIA
M,11-04-2001,CAORLE,VE,ITALIA
M,12-04-2001,VENEZIA,VE,ITALIA
F,14-04-2001,CASTRO,LE,ITALIA
M,14-04-2001,CASTRO,LE,ITALIA
F,14-04-2001,LATISANA,UD,ITALIA
F,19-04-2001,SAN BIAGIO DI CALLALTA,TV,ITALIA
F,21-04-2001,PADOVA,PD,ITALIA
F,23-04-2001,MOTTA DI LIVENZA,TV,ITALIA
M,26-04-2001,SAN DONÀ DI PIAVE,VE,ITALIA
F,05-05-2001,CIVIDALE DEL FRIULI,UD,ITALIA
F,05-05-2001,,,MACEDONIA DEL NORD
F,05-05-2001,,,MACEDONIA DEL NORD
M,07-05-2001,MARCON,VE,ITALIA
F,07-05-2001,MARCON,VE,ITALIA
F,07-05-2001,MARCON,VE,ITALIA
F,12-05-2001,MARCHIROLO,VA,ITALIA
F,12-05-2001,MARCHIROLO,VA,ITALIA
F,17-05-2001,CAORLE,VE,ITALIA
M,17-05-2001,CAORLE,VE,ITALIA
F,17-05-2001,CAORLE,VE,ITALIA
M,17-05-2001,CAORLE,VE,ITALIA
F,22-05-2001,,,ALBANIA
M,22-05-2001,,,ALBANIA
M,31-05-2001,CAORLE,VE,ITALIA
M,31-05-2001,CAPPELLA MAGGIORE,TV,ITALIA
F,31-05-2001,CAPPELLA MAGGIORE,TV,ITALIA
F,09-06-2001,CASTRO,LE,ITALIA
F,19-06-2001,SAN DONÀ DI PIAVE,VE,ITALIA
M,22-06-2001,PORTOGRUARO,VE,ITALIA
M,23-06-2001,CAORLE,VE,ITALIA
M,23-06-2001,CAORLE,VE,ITALIA
F,23-06-2001,CAORLE,VE,ITALIA
M,29-06-2001,TORRE DI MOSTO,VE,ITALIA
F,30-06-2001,,,MACEDONIA DEL NORD
M,30-06-2001,,,MACEDONIA DEL NORD
F,04-07-2001,CAORLE,VE,ITALIA
M,21-07-2001,CEGGIA,VE,ITALIA
M,21-07-2001,CEGGIA,VE,ITALIA
F,21-07-2001,CEGGIA,VE,ITALIA
F,21-07-2001,PORTOGRUARO,VE,ITALIA
F,23-07-2001,ERACLEA,VE,ITALIA
M,23-07-2001,ERACLEA,VE,ITALIA
F,23-07-2001,ERACLEA,VE,ITALIA
M,23-07-2001,ERACLEA,VE,ITALIA
M,24-07-2001,CAORLE,VE,ITALIA
F,01-08-2001,PASIANO DI PORDENONE,PN,ITALIA
F,09-08-2001,PORTOGRUARO,VE,ITALIA
M,09-08-2001,PORTOGRUARO,VE,ITALIA
F,13-08-2001,FIUME VENETO,PN,ITALIA
M,14-08-2001,CASSANO MAGNAGO,VA,ITALIA
M,20-08-2001,SPILIMBERGO,PN,ITALIA
F,25-08-2001,TORRE DI MOSTO,VE,ITALIA
M,03-09-2001,ANNONE VENETO,VE,ITALIA
F,03-09-2001,CEGGIA,VE,ITALIA
M,03-09-2001,FOSSALTA DI PORTOGRUARO,VE,ITALIA
M,03-09-2001,CEGGIA,VE,ITALIA
F,04-09-2001,SANTA MARIA DI SALA,VE,ITALIA
F,07-09-2001,MOTTA DI LIVENZA,TV,ITALIA
F,12-09-2001,CEGGIA,VE,ITALIA
M,12-09-2001,MOTTA DI LIVENZA,TV,ITALIA
M,12-09-2001,CEGGIA,VE,ITALIA
F,13-09-2001,,,BOSNIA-ERZEGOVINA
F,13-09-2001,,,BOSNIA-ERZEGOVINA
F,13-09-2001,,,BOSNIA-ERZEGOVINA
M,15-09-2001,,,ALBANIA
F,17-09-2001,NETTUNO,RM,ITALIA
M,17-09-2001,,,ESTERO
F,17-09-2001,,,GERMANIA
M,17-09-2001,,,ESTERO
F,17-09-2001,,,ESTERO
F,17-09-2001,CAORLE,VE,ITALIA
F,21-09-2001,RONCELLO,MI,ITALIA
F,21-09-2001,MOTTA DI LIVENZA,TV,ITALIA
F,22-09-2001,CONCORDIA SAGITTARIA,VE,ITALIA
M,22-09-2001,CONCORDIA SAGITTARIA,VE,ITALIA
F,24-09-2001,PORRETTA TERME,BO,ITALIA
M,24-09-2001,PORRETTA TERME,BO,ITALIA
F,27-09-2001,PRAMAGGIORE,VE,ITALIA
F,28-09-2001,CHIUSA SCLAFANI,PA,ITALIA
M,28-09-2001,ERACLEA,VE,ITALIA
F,28-09-2001,CHIUSA SCLAFANI,PA,ITALIA
M,28-09-2001,CHIUSA SCLAFANI,PA,ITALIA
F,29-09-2001,CESSALTO,TV,ITALIA
F,29-09-2001,SAN MICHELE AL TAGLIAMENTO,VE,ITALIA
M,01-10-2001,STORNARELLA,FG,ITALIA
M,01-10-2001,STORNARELLA,FG,ITALIA
F,01-10-2001,STORNARELLA,FG,ITALIA
F,01-10-2001,STORNARELLA,FG,ITALIA
F,16-10-2001,,,ROMANIA
F,19-10-2001,PORCIA,PN,ITALIA
F,19-10-2001,PORCIA,PN,ITALIA
M,20-10-2001,LIGNANO SABBIADORO,UD,ITALIA
F,20-10-2001,PRAMAGGIORE,VE,ITALIA
F,20-10-2001,PRAMAGGIORE,VE,ITALIA
F,26-10-2001,,,UNGHERIA
F,31-10-2001,,,FILIPPINE
F,03-11-2001,PRAMAGGIORE,VE,ITALIA
M,06-11-2001,SAN MICHELE AL TAGLIAMENTO,VE,ITALIA
F,12-11-2001,VENEZIA,VE,ITALIA
F,24-11-2001,MEDUNA DI LIVENZA,TV,ITALIA
F,26-11-2001,TREBISACCE,CS,ITALIA
M,26-11-2001,TREBISACCE,CS,ITALIA
F,26-11-2001,TREBISACCE,CS,ITALIA
F,03-12-2001,CAORLE,VE,ITALIA
M,06-12-2001,MOTTA DI LIVENZA,TV,ITALIA
M,06-12-2001,MOTTA DI LIVENZA,TV,ITALIA
M,06-12-2001,MOTTA DI LIVENZA,TV,ITALIA
F,06-12-2001,MOTTA DI LIVENZA,TV,ITALIA
F,11-12-2001,,,MACEDONIA DEL NORD
M,15-12-2001,MOTTA DI LIVENZA,TV,ITALIA
M,15-12-2001,BUCCIANO,BN,ITALIA
F,15-12-2001,,,CROAZIA
M,15-12-2001,,,CROAZIA
M,17-12-2001,CAORLE,VE,ITALIA
F,17-12-2001,CAORLE,VE,ITALIA
F,17-12-2001,CAORLE,VE,ITALIA
F,17-12-2001,MILANO,MI,ITALIA
M,18-12-2001,PRATA DI PORDENONE,PN,ITALIA
M,21-12-2001,SAN VITO AL TAGLIAMENTO,PN,ITALIA
M,22-12-2001,TORRE DI MOSTO,VE,ITALIA
F,28-12-2001,TORRE DI MOSTO,VE,ITALIA
M,28-12-2001,CESSALTO,TV,ITALIA
F,29-12-2001,,,ALBANIA
M,02-01-2002,BOLZANO .BOZEN.,BZ,ITALIA
F,02-01-2002,SALGAREDA,TV,ITALIA
F,02-01-2002,BOLOGNA,BO,ITALIA
F,05-01-2002,SPINEA,VE,ITALIA
M,05-01-2002,SPINEA,VE,ITALIA
M,16-01-2002,CAORLE,VE,ITALIA
M,21-01-2002,CESSALTO,TV,ITALIA
M,21-01-2002,CESSALTO,TV,ITALIA
M,21-01-2002,SAN VITO AL TAGLIAMENTO,PN,ITALIA
F,21-01-2002,CESSALTO,TV,ITALIA
M,22-01-2002,,,ROMANIA
F,23-01-2002,CONCORDIA SAGITTARIA,VE,ITALIA
F,28-01-2002,CAORLE,VE,ITALIA
M,31-01-2002,VAJONT,PN,ITALIA
F,31-01-2002,VAJONT,PN,ITALIA
F,06-02-2002,PORTOGRUARO,VE,ITALIA
M,06-02-2002,PORTOGRUARO,VE,ITALIA
F,06-02-2002,PORTOGRUARO,VE,ITALIA
M,13-02-2002,TORRE DI MOSTO,VE,ITALIA
M,16-02-2002,CAORLE,VE,ITALIA
F,16-02-2002,CAORLE,VE,ITALIA
M,16-02-2002,CAORLE,VE,ITALIA
F,19-02-2002,AZZANO DECIMO,PN,ITALIA
M,20-02-2002,BOLOGNA,BO,ITALIA
M,20-02-2002,BOLOGNA,BO,ITALIA
F,20-02-2002,BOLOGNA,BO,ITALIA
M,21-02-2002,VENEZIA,VE,ITALIA
M,23-02-2002,,,ALBANIA
M,07-03-2002,,,ROMANIA
M,07-03-2002,,,MACEDONIA DEL NORD
M,07-03-2002,ANNONE VENETO,VE,ITALIA
M,11-03-2002,PONTE NOSSA,BG,ITALIA
F,03-04-2002,CAORLE,VE,ITALIA
F,04-04-2002,PORCIA,PN,ITALIA
F,11-04-2002,TRIESTE,TS,ITALIA
F,17-04-2002,PORTOGRUARO,VE,ITALIA
F,18-04-2002,TORRE DI MOSTO,VE,ITALIA
F,18-04-2002,VENEZIA,VE,ITALIA
F,19-04-2002,,,-
F,19-04-2002,,,-
M,19-04-2002,,,-
F,29-04-2002,SAN MICHELE AL TAGLIAMENTO,VE,ITALIA
M,02-05-2002,PRAMAGGIORE,VE,ITALIA
F,02-05-2002,PRAMAGGIORE,VE,ITALIA
M,02-05-2002,PRAMAGGIORE,VE,ITALIA
F,02-05-2002,PRAMAGGIORE,VE,ITALIA
F,06-05-2002,ERACLEA,VE,ITALIA
M,06-05-2002,ERACLEA,VE,ITALIA
F,06-05-2002,ERACLEA,VE,ITALIA
M,06-05-2002,SAN DONÀ DI PIAVE,VE,ITALIA
M,06-05-2002,SAN DONÀ DI PIAVE,VE,ITALIA
