SESSO,DATA IMMIGRAZIONE,COMUNE DI PROVENIENZA,PROVINCIA DI PROVENIENZA,STATO DI PROVENIENZA
M,01-07-2003,,,ROMANIA
F,05-07-2003,PRATA DI PORDENONE,PN,ITALIA
F,05-07-2003,PRATA DI PORDENONE,PN,ITALIA
M,05-07-2003,PRATA DI PORDENONE,PN,ITALIA
F,05-07-2003,PRATA DI PORDENONE,PN,ITALIA
F,28-07-2003,CAMPODARSEGO,PD,ITALIA
F,30-07-2003,,,REPUBBLICA DOMINICANA
M,30-07-2003,PORTOGRUARO,VE,ITALIA
F,01-08-2003,,,URUGUAY
M,05-08-2003,SAN BIAGIO DI CALLALTA,TV,ITALIA
M,05-08-2003,SAN BIAGIO DI CALLALTA,TV,ITALIA
F,05-08-2003,SAN BIAGIO DI CALLALTA,TV,ITALIA
F,05-08-2003,SAN BIAGIO DI CALLALTA,TV,ITALIA
M,06-08-2003,ANNONE VENETO,VE,ITALIA
M,09-08-2003,,,BOSNIA-ERZEGOVINA
M,14-08-2003,CAORLE,VE,ITALIA
M,14-08-2003,CAORLE,VE,ITALIA
F,14-08-2003,CHIARI,BS,ITALIA
F,14-08-2003,CAORLE,VE,ITALIA
F,18-08-2003,VENEZIA,VE,ITALIA
F,18-08-2003,VENEZIA,VE,ITALIA
M,18-08-2003,VENEZIA,VE,ITALIA
M,18-08-2003,VENEZIA,VE,ITALIA
F,19-08-2003,,,ALBANIA
M,19-08-2003,,,ALBANIA
M,22-08-2003,VENEZIA,VE,ITALIA
M,25-08-2003,NOVENTA DI PIAVE,VE,ITALIA
F,25-08-2003,VENEZIA,VE,ITALIA
M,29-08-2003,CAORLE,VE,ITALIA
F,01-09-2003,MOTTA DI LIVENZA,TV,ITALIA
F,03-09-2003,,,MAROCCO
F,03-09-2003,,,MAROCCO
F,03-09-2003,,,MAROCCO
M,03-09-2003,,,MAROCCO
M,08-09-2003,,,ROMANIA
M,16-09-2003,CALALZO DI CADORE,BL,ITALIA
F,23-09-2003,TORRE DI MOSTO,VE,ITALIA
M,23-09-2003,TORRE DI MOSTO,VE,ITALIA
F,23-09-2003,TORRE DI MOSTO,VE,ITALIA
M,24-09-2003,CAPRACOTTA,IS,ITALIA
F,25-09-2003,,,SVIZZERA
F,27-09-2003,TORRE DI MOSTO,VE,ITALIA
F,06-10-2003,,,ESTERO
F,06-10-2003,MILANO,MI,ITALIA
F,06-10-2003,MILANO,MI,ITALIA
M,06-10-2003,MILANO,MI,ITALIA
F,11-10-2003,,,ECUADOR
M,15-10-2003,,,MOLDOVA
M,23-10-2003,MEDUNA DI LIVENZA,TV,ITALIA
M,25-10-2003,PASIANO DI PORDENONE,PN,ITALIA
M,27-10-2003,,,ROMANIA
F,27-10-2003,,,ROMANIA
M,04-11-2003,PORTOGRUARO,VE,ITALIA
F,04-11-2003,PORTOGRUARO,VE,ITALIA
M,05-11-2003,,,ROMANIA
F,05-11-2003,MOTTA DI LIVENZA,TV,ITALIA
M,07-11-2003,,,MACEDONIA DEL NORD
M,08-11-2003,,,BOSNIA-ERZEGOVINA
F,11-11-2003,,,UCRAINA
F,12-11-2003,CAORLE,VE,ITALIA
F,12-11-2003,CAORLE,VE,ITALIA
M,12-11-2003,CAORLE,VE,ITALIA
M,12-11-2003,CAORLE,VE,ITALIA
F,12-11-2003,CAORLE,VE,ITALIA
F,12-11-2003,SAN POLO DI PIAVE,TV,ITALIA
M,14-11-2003,,,ROMANIA
M,15-11-2003,ANNONE VENETO,VE,ITALIA
F,15-11-2003,TORRE DI MOSTO,VE,ITALIA
M,17-11-2003,MOTTA DI LIVENZA,TV,ITALIA
F,17-11-2003,GORGO AL MONTICANO,TV,ITALIA
M,17-11-2003,GORGO AL MONTICANO,TV,ITALIA
M,17-11-2003,GORGO AL MONTICANO,TV,ITALIA
M,26-11-2003,,,ALBANIA
M,06-12-2003,MOTTA DI LIVENZA,TV,ITALIA
M,06-12-2003,,,ESTERO
F,10-12-2003,PORTOGRUARO,VE,ITALIA
F,22-12-2003,CAORLE,VE,ITALIA
F,23-12-2003,CASSANO MAGNAGO,VA,ITALIA
M,23-12-2003,CASSANO MAGNAGO,VA,ITALIA
M,30-12-2003,CAORLE,VE,ITALIA
M,30-12-2003,CAORLE,VE,ITALIA
F,30-12-2003,CAORLE,VE,ITALIA
F,30-12-2003,CAORLE,VE,ITALIA
M,31-12-2003,CONCORDIA SAGITTARIA,VE,ITALIA
M,16-01-2004,,,ALBANIA
M,17-01-2004,ANNONE VENETO,VE,ITALIA
M,22-01-2004,CAORLE,VE,ITALIA
F,22-01-2004,CAORLE,VE,ITALIA
F,22-01-2004,CAORLE,VE,ITALIA
M,23-01-2004,MUSILE DI PIAVE,VE,ITALIA
M,27-01-2004,TORRE DI MOSTO,VE,ITALIA
F,27-01-2004,TORRE DI MOSTO,VE,ITALIA
M,27-01-2004,TORRE DI MOSTO,VE,ITALIA
F,27-01-2004,TORRE DI MOSTO,VE,ITALIA
F,27-01-2004,,,CUBA
F,27-01-2004,TORRE DI MOSTO,VE,ITALIA
F,04-02-2004,MOTTA DI LIVENZA,TV,ITALIA
M,04-02-2004,MOTTA DI LIVENZA,TV,ITALIA
M,04-02-2004,MOTTA DI LIVENZA,TV,ITALIA
F,05-02-2004,PRAMAGGIORE,VE,ITALIA
M,05-02-2004,PRAMAGGIORE,VE,ITALIA
M,06-02-2004,,,ESTERO
F,09-02-2004,,,NIGERIA
F,13-02-2004,NAPOLI,NA,ITALIA
M,18-02-2004,,,BOSNIA-ERZEGOVINA
M,18-02-2004,MEOLO,VE,ITALIA
M,19-02-2004,LIMBIATE,MI,ITALIA
M,24-02-2004,,,MACEDONIA DEL NORD
M,24-02-2004,,,MACEDONIA DEL NORD
F,24-02-2004,,,MACEDONIA DEL NORD
M,25-02-2004,MOTTA DI LIVENZA,TV,ITALIA
F,28-02-2004,,,UCRAINA
F,06-03-2004,,,ROMANIA
F,06-03-2004,,,BRASILE
M,15-03-2004,TORRE DI MOSTO,VE,ITALIA
M,16-03-2004,,,-
F,17-03-2004,MOTTA DI LIVENZA,TV,ITALIA
M,20-03-2004,NOVENTA DI PIAVE,VE,ITALIA
M,20-03-2004,,,MACEDONIA DEL NORD
F,22-03-2004,CESSALTO,TV,ITALIA
M,22-03-2004,CESSALTO,TV,ITALIA
F,22-03-2004,CESSALTO,TV,ITALIA
M,23-03-2004,SAN FELICE A CANCELLO,CE,ITALIA
M,24-03-2004,CAORLE,VE,ITALIA
F,24-03-2004,,,ESTERO
F,24-03-2004,VENEZIA,VE,ITALIA
F,24-03-2004,CAORLE,VE,ITALIA
F,02-04-2004,SAN VENDEMIANO,TV,ITALIA
F,02-04-2004,,,ROMANIA
M,02-04-2004,SAN VENDEMIANO,TV,ITALIA
F,05-04-2004,SAN GIULIANO MILANESE,MI,ITALIA
F,14-04-2004,FOSSÒ,VE,ITALIA
F,16-04-2004,,,MOLDOVA
F,16-04-2004,,,MOLDOVA
F,19-04-2004,CONCORDIA SAGITTARIA,VE,ITALIA
M,19-04-2004,PORCIA,PN,ITALIA
M,24-04-2004,,,MACEDONIA DEL NORD
F,30-04-2004,CHIARANO,TV,ITALIA
M,30-04-2004,CHIARANO,TV,ITALIA
F,30-04-2004,CHIARANO,TV,ITALIA
F,05-05-2004,,,ROMANIA
F,06-05-2004,,,ROMANIA
F,08-05-2004,MONTALTO UFFUGO,CS,ITALIA
M,08-05-2004,MONTALTO UFFUGO,CS,ITALIA
M,10-05-2004,CONCORDIA SAGITTARIA,VE,ITALIA
M,19-05-2004,POLCENIGO,PN,ITALIA
F,19-05-2004,CAORLE,VE,ITALIA
M,19-05-2004,CAORLE,VE,ITALIA
F,24-05-2004,CAORLE,VE,ITALIA
M,25-05-2004,,,BOSNIA-ERZEGOVINA
F,25-05-2004,,,BOSNIA-ERZEGOVINA
F,25-05-2004,,,BOSNIA-ERZEGOVINA
F,25-05-2004,CAORLE,VE,ITALIA
M,27-05-2004,,,ALBANIA
F,27-05-2004,,,ALBANIA
M,27-05-2004,,,ALBANIA
F,27-05-2004,,,ALBANIA
M,05-06-2004,ERACLEA,VE,ITALIA
F,10-06-2004,MISILMERI,PA,ITALIA
M,14-06-2004,JESOLO,VE,ITALIA
F,16-06-2004,SAN BIAGIO DI CALLALTA,TV,ITALIA
F,19-06-2004,FOSSALTO,CB,ITALIA
M,03-07-2004,TORRE DI MOSTO,VE,ITALIA
F,03-07-2004,TORRE DI MOSTO,VE,ITALIA
F,07-07-2004,,,ALBANIA
M,07-07-2004,,,ALBANIA
M,10-07-2004,SAN DONÀ DI PIAVE,VE,ITALIA
F,14-07-2004,MOTTA DI LIVENZA,TV,ITALIA
F,17-07-2004,QUARTO D'ALTINO,VE,ITALIA
F,19-07-2004,LIMBIATE,MI,ITALIA
M,19-07-2004,LIMBIATE,MI,ITALIA
F,19-07-2004,LIMBIATE,MI,ITALIA
M,23-07-2004,CEGGIA,VE,ITALIA
F,23-07-2004,CONCORDIA SAGITTARIA,VE,ITALIA
F,27-07-2004,,,GERMANIA
M,27-07-2004,,,GERMANIA
F,27-07-2004,,,ESTERO
F,27-07-2004,,,ESTERO
F,04-08-2004,MOTTA DI LIVENZA,TV,ITALIA
M,05-08-2004,QUARTO D'ALTINO,VE,ITALIA
F,09-08-2004,TORRE DI MOSTO,VE,ITALIA
M,13-08-2004,SAN MICHELE AL TAGLIAMENTO,VE,ITALIA
M,13-08-2004,,,MACEDONIA DEL NORD
M,13-08-2004,,,MACEDONIA DEL NORD
F,13-08-2004,,,MACEDONIA DEL NORD
M,16-08-2004,CHIARANO,TV,ITALIA
F,18-08-2004,TORRE DI MOSTO,VE,ITALIA
M,18-08-2004,TORRE DI MOSTO,VE,ITALIA
M,21-08-2004,MUZZANA DEL TURGNANO,UD,ITALIA
M,26-08-2004,CHIARANO,TV,ITALIA
F,28-08-2004,TORRE DI MOSTO,VE,ITALIA
F,28-08-2004,DOLO,VE,ITALIA
M,30-08-2004,ANNONE VENETO,VE,ITALIA
F,31-08-2004,SAN MICHELE AL TAGLIAMENTO,VE,ITALIA
M,04-09-2004,CAORLE,VE,ITALIA
M,04-09-2004,PIANIGA,VE,ITALIA
M,06-09-2004,CEGGIA,VE,ITALIA
F,07-09-2004,CESSALTO,TV,ITALIA
M,15-09-2004,CAORLE,VE,ITALIA
F,15-09-2004,CAORLE,VE,ITALIA
M,16-09-2004,MOTTA DI LIVENZA,TV,ITALIA
F,16-09-2004,MOTTA DI LIVENZA,TV,ITALIA
F,16-09-2004,CEGGIA,VE,ITALIA
M,20-09-2004,SAN GIULIANO MILANESE,MI,ITALIA
F,22-09-2004,PRAMAGGIORE,VE,ITALIA
M,25-09-2004,CAORLE,VE,ITALIA
M,28-09-2004,,,MAROCCO
M,29-09-2004,PASIANO DI PORDENONE,PN,ITALIA
M,29-09-2004,CONCORDIA SAGITTARIA,VE,ITALIA
F,30-09-2004,FOSSALTA DI PORTOGRUARO,VE,ITALIA
M,30-09-2004,,,MACEDONIA DEL NORD
F,30-09-2004,PORTOGRUARO,VE,ITALIA
F,30-09-2004,FOSSALTA DI PORTOGRUARO,VE,ITALIA
F,02-10-2004,CAORLE,VE,ITALIA
M,02-10-2004,CAORLE,VE,ITALIA
M,02-10-2004,CAORLE,VE,ITALIA
M,02-10-2004,,,MACEDONIA DEL NORD
F,02-10-2004,AZZANO DECIMO,PN,ITALIA
M,02-10-2004,CEGGIA,VE,ITALIA
F,02-10-2004,ANNONE VENETO,VE,ITALIA
M,02-10-2004,ANNONE VENETO,VE,ITALIA
M,07-10-2004,BUTTRIO,UD,ITALIA
F,07-10-2004,ODERZO,TV,ITALIA
F,07-10-2004,ODERZO,TV,ITALIA
M,07-10-2004,ODERZO,TV,ITALIA
F,09-10-2004,,,MACEDONIA DEL NORD
M,09-10-2004,CINTO CAOMAGGIORE,VE,ITALIA
F,09-10-2004,BELLUNO,BL,ITALIA
F,15-10-2004,SAN DONÀ DI PIAVE,VE,ITALIA
M,16-10-2004,JESOLO,VE,ITALIA
M,19-10-2004,PORTOGRUARO,VE,ITALIA
F,19-10-2004,MILANO,MI,ITALIA
M,20-10-2004,,,MACEDONIA DEL NORD
F,26-10-2004,FOSSALTA DI PORTOGRUARO,VE,ITALIA
F,26-10-2004,FOSSALTA DI PORTOGRUARO,VE,ITALIA
M,26-10-2004,FOSSALTA DI PORTOGRUARO,VE,ITALIA
M,26-10-2004,FOSSALTA DI PORTOGRUARO,VE,ITALIA
M,13-11-2004,ANNONE VENETO,VE,ITALIA
M,15-11-2004,VENEZIA,VE,ITALIA
F,20-11-2004,BASSANO DEL GRAPPA,VI,ITALIA
M,27-11-2004,PRAVISDOMINI,PN,ITALIA
F,01-12-2004,,,UCRAINA
M,03-12-2004,CAORLE,VE,ITALIA
F,03-12-2004,CAORLE,VE,ITALIA
F,03-12-2004,CAORLE,VE,ITALIA
M,03-12-2004,CAORLE,VE,ITALIA
M,03-12-2004,CAORLE,VE,ITALIA
F,17-12-2004,CAORLE,VE,ITALIA
M,17-12-2004,CAORLE,VE,ITALIA
F,27-12-2004,MUSILE DI PIAVE,VE,ITALIA
M,27-12-2004,MUSILE DI PIAVE,VE,ITALIA
F,29-12-2004,PORTOGRUARO,VE,ITALIA
M,29-12-2004,SAN DONÀ DI PIAVE,VE,ITALIA
M,30-12-2004,SAN VITO AL TAGLIAMENTO,PN,ITALIA
F,04-01-2005,CEGGIA,VE,ITALIA
M,05-01-2005,FOSSALTA DI PORTOGRUARO,VE,ITALIA
M,10-01-2005,CESSALTO,TV,ITALIA
F,10-01-2005,VILLORBA,TV,ITALIA
M,17-01-2005,CIVITA CASTELLANA,VT,ITALIA
F,17-01-2005,CIVITA CASTELLANA,VT,ITALIA
M,17-01-2005,CIVITA CASTELLANA,VT,ITALIA
M,17-01-2005,GRADISCA D'ISONZO,GO,ITALIA
M,20-01-2005,CAORLE,VE,ITALIA
M,21-01-2005,CAORLE,VE,ITALIA
F,21-01-2005,CAORLE,VE,ITALIA
F,21-01-2005,CAORLE,VE,ITALIA
F,21-01-2005,CAORLE,VE,ITALIA
F,21-01-2005,CAORLE,VE,ITALIA
F,21-01-2005,ODERZO,TV,ITALIA
M,21-01-2005,CAORLE,VE,ITALIA
F,25-01-2005,CAORLE,VE,ITALIA
M,25-01-2005,CAORLE,VE,ITALIA
M,25-01-2005,TORRE DI MOSTO,VE,ITALIA
F,25-01-2005,CAORLE,VE,ITALIA
M,29-01-2005,CAORLE,VE,ITALIA
F,01-02-2005,,,TUNISIA
M,05-02-2005,PRATA DI PORDENONE,PN,ITALIA
M,07-02-2005,,,MAROCCO
F,07-02-2005,,,MAROCCO
M,10-02-2005,CAORLE,VE,ITALIA
M,12-02-2005,MOTTA DI LIVENZA,TV,ITALIA
M,19-02-2005,ERACLEA,VE,ITALIA
M,22-02-2005,SAN DONÀ DI PIAVE,VE,ITALIA
M,23-02-2005,,,ESTERO
F,26-02-2005,BRIOSCO,MI,ITALIA
M,28-02-2005,,,ALBANIA
F,28-02-2005,,,ALBANIA
F,01-03-2005,MUSILE DI PIAVE,VE,ITALIA
F,01-03-2005,MUSILE DI PIAVE,VE,ITALIA
F,01-03-2005,MUSILE DI PIAVE,VE,ITALIA
F,01-03-2005,MUSILE DI PIAVE,VE,ITALIA
F,01-03-2005,MUSILE DI PIAVE,VE,ITALIA
F,05-03-2005,CAVARZERE,VE,ITALIA
M,09-03-2005,CAORLE,VE,ITALIA
F,09-03-2005,FOSSALTA DI PORTOGRUARO,VE,ITALIA
F,10-03-2005,,,ALBANIA
F,15-03-2005,CAORLE,VE,ITALIA
M,15-03-2005,CAORLE,VE,ITALIA
F,17-03-2005,,,ALBANIA
F,21-03-2005,,,MAROCCO
F,22-03-2005,SALGAREDA,TV,ITALIA
M,24-03-2005,SALGAREDA,TV,ITALIA
M,24-03-2005,TORRE DI MOSTO,VE,ITALIA
M,24-03-2005,CEGGIA,VE,ITALIA
M,25-03-2005,CONCORDIA SAGITTARIA,VE,ITALIA
M,26-03-2005,UDINE,UD,ITALIA
M,26-03-2005,SAN DONÀ DI PIAVE,VE,ITALIA
M,30-03-2005,ANNONE VENETO,VE,ITALIA
M,02-04-2005,CAORLE,VE,ITALIA
F,02-04-2005,,,ECUADOR
F,02-04-2005,CAORLE,VE,ITALIA
F,04-04-2005,ANNONE VENETO,VE,ITALIA
M,04-04-2005,ANNONE VENETO,VE,ITALIA
F,08-04-2005,,,ALBANIA
M,12-04-2005,CAORLE,VE,ITALIA
M,26-04-2005,TORRE DEL GRECO,,ITALIA
M,26-04-2005,TORRE DEL GRECO,,ITALIA
F,27-04-2005,,,SVIZZERA
M,27-04-2005,,,SVIZZERA
M,04-05-2005,TORINO,TO,ITALIA
M,04-05-2005,,,MAROCCO
F,04-05-2005,MONCALIERI,TO,ITALIA
M,07-05-2005,CAORLE,VE,ITALIA
F,07-05-2005,CAORLE,VE,ITALIA
M,11-05-2005,CERVIGNANO DEL FRIULI,UD,ITALIA
F,17-05-2005,CAORLE,VE,ITALIA
F,17-05-2005,CAORLE,VE,ITALIA
M,17-05-2005,CAORLE,VE,ITALIA
M,21-05-2005,NERVESA DELLA BATTAGLIA,TV,ITALIA
M,23-05-2005,CAORLE,VE,ITALIA
M,23-05-2005,CAORLE,VE,ITALIA
F,23-05-2005,CAORLE,VE,ITALIA
M,25-05-2005,CAORLE,VE,ITALIA
M,30-05-2005,VENEZIA,VE,ITALIA
M,04-06-2005,TORRE DI MOSTO,VE,ITALIA
F,04-06-2005,TORRE DI MOSTO,VE,ITALIA
F,20-06-2005,TORRE DEL GRECO,,ITALIA
F,20-06-2005,TORRE DEL GRECO,,ITALIA
F,21-06-2005,CESSALTO,TV,ITALIA
M,22-06-2005,CHIARANO,TV,ITALIA
M,22-06-2005,CHIARANO,TV,ITALIA
M,22-06-2005,ANNONE VENETO,VE,ITALIA
F,22-06-2005,CHIARANO,TV,ITALIA
M,22-06-2005,MEOLO,VE,ITALIA
M,27-06-2005,PORTOGRUARO,VE,ITALIA
F,29-06-2005,CONCORDIA SAGITTARIA,VE,ITALIA
M,05-07-2005,TAVIANO,LE,ITALIA
F,06-07-2005,TORRE DI MOSTO,VE,ITALIA
M,06-07-2005,CEGGIA,VE,ITALIA
M,07-07-2005,CAORLE,VE,ITALIA
M,07-07-2005,CAORLE,VE,ITALIA
F,07-07-2005,CAORLE,VE,ITALIA
F,14-07-2005,MILANO,MI,ITALIA
F,15-07-2005,VALLE DI CADORE,BL,ITALIA
M,21-07-2005,CHIOGGIA,VE,ITALIA
M,23-07-2005,SAN DONÀ DI PIAVE,VE,ITALIA
F,23-07-2005,CAORLE,VE,ITALIA
F,23-07-2005,SCAFATI,SA,ITALIA
M,25-07-2005,BOLLATE,MI,ITALIA
F,30-07-2005,PRECENICCO,UD,ITALIA
F,30-07-2005,CAORLE,VE,ITALIA
M,30-07-2005,CAORLE,VE,ITALIA
M,30-07-2005,CAORLE,VE,ITALIA
F,30-07-2005,CAORLE,VE,ITALIA
F,30-07-2005,CAORLE,VE,ITALIA
F,02-08-2005,RONCHI DEI LEGIONARI,GO,ITALIA
M,09-08-2005,GORGO AL MONTICANO,TV,ITALIA
M,10-08-2005,CONCORDIA SAGITTARIA,VE,ITALIA
F,10-08-2005,CONCORDIA SAGITTARIA,VE,ITALIA
F,10-08-2005,CONCORDIA SAGITTARIA,VE,ITALIA
M,20-08-2005,,,MACEDONIA DEL NORD
F,20-08-2005,,,MACEDONIA DEL NORD
F,22-08-2005,SAN DONÀ DI PIAVE,VE,ITALIA
F,23-08-2005,CAORLE,VE,ITALIA
M,23-08-2005,CAORLE,VE,ITALIA
F,23-08-2005,CAORLE,VE,ITALIA
F,24-08-2005,,,CROAZIA
F,27-08-2005,ANNONE VENETO,VE,ITALIA
M,31-08-2005,CAORLE,VE,ITALIA
F,31-08-2005,CAORLE,VE,ITALIA
M,14-09-2005,,,ROMANIA
F,14-09-2005,VENEZIA,VE,ITALIA
M,21-09-2005,CAORLE,VE,ITALIA
M,21-09-2005,CAORLE,VE,ITALIA
M,23-09-2005,TERME VIGLIATORE,ME,ITALIA
F,23-09-2005,CINTO CAOMAGGIORE,VE,ITALIA
F,23-09-2005,CAORLE,VE,ITALIA
F,23-09-2005,CAORLE,VE,ITALIA
M,23-09-2005,CINTO CAOMAGGIORE,VE,ITALIA
M,23-09-2005,CINTO CAOMAGGIORE,VE,ITALIA
M,04-10-2005,GORGO AL MONTICANO,TV,ITALIA
F,05-10-2005,,,ESTERO
M,08-10-2005,,,NIGERIA
M,08-10-2005,,,EGITTO
F,10-10-2005,VILLA SAN GIOVANNI,RC,ITALIA
M,10-10-2005,VENEZIA,VE,ITALIA
F,11-10-2005,CAORLE,VE,ITALIA
M,11-10-2005,CAORLE,VE,ITALIA
M,11-10-2005,CAORLE,VE,ITALIA
M,11-10-2005,VENEZIA,VE,ITALIA
F,14-10-2005,ANNONE VENETO,VE,ITALIA
M,14-10-2005,FOSSALTA DI PIAVE,VE,ITALIA
F,15-10-2005,CAORLE,VE,ITALIA
F,21-10-2005,CAORLE,VE,ITALIA
F,21-10-2005,CAORLE,VE,ITALIA
F,24-10-2005,CERVIGNANO DEL FRIULI,UD,ITALIA
F,27-10-2005,CAORLE,VE,ITALIA
M,27-10-2005,CONCORDIA SAGITTARIA,VE,ITALIA
M,29-10-2005,GORGO AL MONTICANO,TV,ITALIA
M,02-11-2005,VENEZIA,VE,ITALIA
M,05-11-2005,SAN DONÀ DI PIAVE,VE,ITALIA
M,14-11-2005,CHIARANO,TV,ITALIA
F,19-11-2005,MOTTA DI LIVENZA,TV,ITALIA
F,23-11-2005,,,REPUBBLICA DOMINICANA
F,30-11-2005,CEGGIA,VE,ITALIA
M,30-11-2005,MOTTA DI LIVENZA,TV,ITALIA
M,03-12-2005,ANNONE VENETO,VE,ITALIA
M,05-12-2005,CAORLE,VE,ITALIA
F,05-12-2005,CAORLE,VE,ITALIA
F,10-12-2005,VENEZIA,VE,ITALIA
F,12-12-2005,,,ALBANIA
M,15-12-2005,MACERATA,MC,ITALIA
F,15-12-2005,MACERATA,MC,ITALIA
M,15-12-2005,MACERATA,MC,ITALIA
M,20-12-2005,PRAVISDOMINI,PN,ITALIA
M,23-12-2005,PRAVISDOMINI,PN,ITALIA
M,24-12-2005,ANNONE VENETO,VE,ITALIA
F,29-12-2005,SAN BIAGIO DI CALLALTA,TV,ITALIA
F,30-12-2005,MOTTA DI LIVENZA,TV,ITALIA
M,30-12-2005,,,FEDERAZIONE RUSSA
M,30-12-2005,GALATINA,LE,ITALIA
F,02-01-2006,MOTTA DI LIVENZA,TV,ITALIA
M,02-01-2006,MOTTA DI LIVENZA,TV,ITALIA
F,02-01-2006,MOTTA DI LIVENZA,TV,ITALIA
M,03-01-2006,LIGNANO SABBIADORO,UD,ITALIA
M,13-01-2006,,,MACEDONIA DEL NORD
M,13-01-2006,,,MACEDONIA DEL NORD
F,13-01-2006,,,MACEDONIA DEL NORD
F,13-01-2006,,,ROMANIA
F,13-01-2006,FOSSALTA DI PORTOGRUARO,VE,ITALIA
F,14-01-2006,SAN MICHELE AL TAGLIAMENTO,VE,ITALIA
F,18-01-2006,CONCORDIA SAGITTARIA,VE,ITALIA
F,18-01-2006,CONCORDIA SAGITTARIA,VE,ITALIA
M,21-01-2006,,,UCRAINA
F,24-01-2006,PRAMAGGIORE,VE,ITALIA
M,24-01-2006,PRAMAGGIORE,VE,ITALIA
F,24-01-2006,PRAMAGGIORE,VE,ITALIA
F,24-01-2006,PRAMAGGIORE,VE,ITALIA
M,26-01-2006,,,MACEDONIA DEL NORD
M,26-01-2006,,,ROMANIA
M,27-01-2006,,,MACEDONIA DEL NORD
F,27-01-2006,,,MACEDONIA DEL NORD
F,27-01-2006,,,MACEDONIA DEL NORD
F,30-01-2006,CAORLE,VE,ITALIA
M,07-02-2006,SAN STINO DI LIVENZA,VE,ITALIA
M,10-02-2006,SAN STINO DI LIVENZA,VE,ITALIA
M,11-02-2006,,,MACEDONIA DEL NORD
M,21-02-2006,,,ROMANIA
F,24-02-2006,SAN DONÀ DI PIAVE,VE,ITALIA
F,02-03-2006,,,SERBIA
F,03-03-2006,CAORLE,VE,ITALIA
M,03-03-2006,CAORLE,VE,ITALIA
F,03-03-2006,CAORLE,VE,ITALIA
M,03-03-2006,CAORLE,VE,ITALIA
F,08-03-2006,,,KOSOVO
F,08-03-2006,,,KOSOVO
F,08-03-2006,,,KOSOVO
M,08-03-2006,,,KOSOVO
F,08-03-2006,,,KOSOVO
M,08-03-2006,,,KOSOVO
M,08-03-2006,SAN DONÀ DI PIAVE,VE,ITALIA
M,09-03-2006,SUSEGANA,TV,ITALIA
F,15-03-2006,TORRE DI MOSTO,VE,ITALIA
M,15-03-2006,TORRE DI MOSTO,VE,ITALIA
M,15-03-2006,TORRE DI MOSTO,VE,ITALIA
F,15-03-2006,TORRE DI MOSTO,VE,ITALIA
F,15-03-2006,VENEZIA,VE,ITALIA
M,15-03-2006,VENEZIA,VE,ITALIA
M,20-03-2006,ZANÈ,VI,ITALIA
F,03-04-2006,PORTOGRUARO,VE,ITALIA
F,03-04-2006,CAORLE,VE,ITALIA
M,05-04-2006,,,
F,07-04-2006,TORRE DI MOSTO,VE,ITALIA
M,15-04-2006,,,ALBANIA
M,15-04-2006,,,MACEDONIA DEL NORD
M,15-04-2006,SARNANO,MC,ITALIA
M,22-04-2006,,,MACEDONIA DEL NORD
F,22-04-2006,,,ROMANIA
M,28-04-2006,MOTTA DI LIVENZA,TV,ITALIA
M,29-04-2006,SEZZE,LT,ITALIA
F,29-04-2006,,,MAROCCO
F,02-05-2006,CAORLE,VE,ITALIA
F,03-05-2006,ANNONE VENETO,VE,ITALIA
M,04-05-2006,ERACLEA,VE,ITALIA
M,05-05-2006,,,SERBIA
M,05-05-2006,VENEZIA,VE,ITALIA
F,05-05-2006,,,SERBIA
F,05-05-2006,,,SERBIA
F,05-05-2006,,,SERBIA
M,06-05-2006,MILANO,MI,ITALIA
F,06-05-2006,MILANO,MI,ITALIA
F,06-05-2006,MILANO,MI,ITALIA
F,06-05-2006,MILANO,MI,ITALIA
F,08-05-2006,MANSUÈ,TV,ITALIA
M,08-05-2006,MANSUÈ,TV,ITALIA
M,08-05-2006,MANSUÈ,TV,ITALIA
M,08-05-2006,MANSUÈ,TV,ITALIA
F,18-05-2006,ALTIVOLE,TV,ITALIA
F,24-05-2006,CAORLE,VE,ITALIA
M,25-05-2006,MIRANO,VE,ITALIA
M,26-05-2006,TORRE DI MOSTO,VE,ITALIA
M,26-05-2006,TORRE DI MOSTO,VE,ITALIA
M,26-05-2006,TORRE DI MOSTO,VE,ITALIA
F,30-05-2006,PORTOGRUARO,VE,ITALIA
F,30-05-2006,NOVENTA DI PIAVE,VE,ITALIA
F,31-05-2006,,,MACEDONIA DEL NORD
F,01-06-2006,ANNONE VENETO,VE,ITALIA
F,09-06-2006,SAN VITO AL TAGLIAMENTO,PN,ITALIA
F,10-06-2006,CAORLE,VE,ITALIA
F,12-06-2006,CAORLE,VE,ITALIA
F,12-06-2006,CAORLE,VE,ITALIA
M,12-06-2006,CAORLE,VE,ITALIA
M,17-06-2006,MARIGLIANO,,ITALIA
M,20-06-2006,MONTE SAN VITO,AN,ITALIA
F,27-06-2006,RONCADE,TV,ITALIA
F,29-06-2006,,,TUNISIA
M,02-07-2006,MILANO,MI,ITALIA
F,03-07-2006,CAORLE,VE,ITALIA
M,03-07-2006,CAORLE,VE,ITALIA
M,11-07-2006,,,ALBANIA
F,14-07-2006,PORDENONE,PN,ITALIA
F,15-07-2006,PRAMAGGIORE,VE,ITALIA
M,05-08-2006,PRAMAGGIORE,VE,ITALIA
M,09-08-2006,,,MACEDONIA DEL NORD
