Sesso,DataImmigrazione,LuogoProvenienza,Provincia,Stato
F,01/08/2013,ABANO TERME ,PD,ITALIA
M,20/05/2005,ACATE ,RG,ITALIA
M,27/10/2014,ACERRA ,NA,ITALIA
M,25/09/2002,ACERRA ,NA,ITALIA
M,15/03/2003,ACERRA ,NA,ITALIA
M,26/03/2018,ACERRA ,NA,ITALIA
F,24/02/2006,ACERRA ,NA,ITALIA
F,26/08/2008,ACERRA ,NA,ITALIA
F,06/09/2016,ACERRA ,NA,ITALIA
M,03/03/2005,ACI CATENA ,CT,ITALIA
M,22/05/2003,ACI SANT'ANTONIO ,CT,ITALIA
M,25/01/2012,ACIREALE ,CT,ITALIA
M,02/06/2000,ACIREALE ,CT,ITALIA
F,30/08/2000,ACIREALE ,CT,ITALIA
F,18/11/2002,ACIREALE ,CT,ITALIA
F,07/12/2013,ACIREALE ,CT,ITALIA
F,20/10/2010,ACQUAVIVA DELLE FONTI ,BA,ITALIA
M,04/10/2010,ACQUAVIVA DELLE FONTI ,BA,ITALIA
F,26/09/2007,ACQUAVIVA DELLE FONTI ,BA,ITALIA
M,05/12/2008,ACQUI TERME ,AL,ITALIA
F,05/12/2008,ACQUI TERME ,AL,ITALIA
M,29/10/2007,ADRANO ,CT,ITALIA
F,10/06/2004,ADRANO ,CT,ITALIA
M,10/06/2004,ADRANO ,CT,ITALIA
F,10/06/2004,ADRANO ,CT,ITALIA
M,03/10/2002,ADRIA ,RO,ITALIA
F,05/07/2016,ADRIA ,RO,ITALIA
M,21/09/2011,ADRIA ,RO,ITALIA
M,04/09/2020,AFGHANISTAN,,AFGHANISTAN
M,29/09/2005,AFRAGOLA ,NA,ITALIA
F,07/10/2003,AFRAGOLA ,NA,ITALIA
M,08/08/2008,AFRAGOLA ,NA,ITALIA
F,08/08/2008,AFRAGOLA ,NA,ITALIA
M,15/10/2015,AGEROLA ,NA,ITALIA
F,15/10/2015,AGEROLA ,NA,ITALIA
M,21/01/2002,AGRIGENTO ,AG,ITALIA
F,04/10/2002,AGRIGENTO ,AG,ITALIA
F,24/08/2002,AGRIGENTO ,AG,ITALIA
M,18/09/2012,AGRIGENTO ,AG,ITALIA
F,26/04/2013,AGRIGENTO ,AG,ITALIA
M,04/10/2002,AGRIGENTO ,AG,ITALIA
M,04/10/2002,AGRIGENTO ,AG,ITALIA
M,14/12/2002,AGRIGENTO ,AG,ITALIA
M,22/12/2003,AGRIGENTO ,AG,ITALIA
M,24/08/2002,AGRIGENTO ,AG,ITALIA
M,05/02/2008,AGRIGENTO ,AG,ITALIA
M,02/10/2017,AGRIGENTO ,AG,ITALIA
M,30/08/2007,AGRIGENTO ,AG,ITALIA
M,30/08/2017,AGRIGENTO ,AG,ITALIA
F,07/01/2019,AGRIGENTO ,AG,ITALIA
F,19/01/2013,AGRIGENTO ,AG,ITALIA
F,24/09/2014,AGROPOLI ,SA,ITALIA
M,10/09/2007,AGROPOLI ,SA,ITALIA
M,24/09/2007,AIELLO DEL FRIULI ,UD,ITALIA
F,07/06/2010,AIELLO DEL FRIULI ,UD,ITALIA
M,15/02/2012,AIELLO DEL SABATO ,AV,ITALIA
F,17/09/2008,AIROLA ,BN,ITALIA
M,05/04/2006,ALBANELLA ,SA,ITALIA
M,05/04/2006,ALBANELLA ,SA,ITALIA
F,05/04/2006,ALBANELLA ,SA,ITALIA
F,30/12/2003,ALBANIA,,ALBANIA
F,25/11/2016,ALBANIA,,ALBANIA
F,25/08/2005,ALBANIA,,ALBANIA
M,25/08/2005,ALBANIA,,ALBANIA
F,25/08/2015,ALBANIA,,ALBANIA
F,03/10/2001,ALBANIA,,ALBANIA
F,27/05/2003,ALBANIA,,ALBANIA
M,05/05/2010,ALBANIA,,ALBANIA
M,02/10/2004,ALBANIA,,ALBANIA
F,14/02/2001,ALBANIA,,ALBANIA
M,14/02/2001,ALBANIA,,ALBANIA
M,07/12/2002,ALBANIA,,ALBANIA
M,22/07/2015,ALBANIA,,ALBANIA
M,05/02/2001,ALBANIA,,ALBANIA
M,01/08/2007,ALBANIA,,ALBANIA
M,02/02/2001,ALBANIA,,ALBANIA
F,01/08/2007,ALBANIA,,ALBANIA
F,08/02/2010,ALBANIA,,ALBANIA
F,01/08/2007,ALBANIA,,ALBANIA
F,30/04/2001,ALBANIA,,ALBANIA
F,30/04/2001,ALBANIA,,ALBANIA
M,30/04/2001,ALBANIA,,ALBANIA
F,14/11/2012,ALBANIA,,ALBANIA
M,19/11/2009,ALBANIA,,ALBANIA
M,19/11/2009,ALBANIA,,ALBANIA
M,01/12/2005,ALBANIA,,ALBANIA
F,01/12/2005,ALBANIA,,ALBANIA
F,01/12/2005,ALBANIA,,ALBANIA
M,01/12/2005,ALBANIA,,ALBANIA
M,15/11/2003,ALBANIA,,ALBANIA
F,31/03/2007,ALBANIA,,ALBANIA
M,14/06/2002,ALBANIA,,ALBANIA
F,06/11/2004,ALBANIA,,ALBANIA
M,06/11/2004,ALBANIA,,ALBANIA
M,01/06/2004,ALBANIA,,ALBANIA
M,20/03/2007,ALBANIA,,ALBANIA
M,31/10/2014,ALBANIA,,ALBANIA
M,16/03/2002,ALBANIA,,ALBANIA
M,24/01/2007,ALBANIA,,ALBANIA
F,24/01/2007,ALBANIA,,ALBANIA
F,07/09/2010,ALBANIA,,ALBANIA
M,21/04/2009,ALBANIA,,ALBANIA
F,07/04/2010,ALBANIA,,ALBANIA
M,07/04/2010,ALBANIA,,ALBANIA
M,07/04/2010,ALBANIA,,ALBANIA
F,21/07/2014,ALBANIA,,ALBANIA
F,05/04/2017,ALBANIA,,ALBANIA
F,23/11/2000,ALBANIA,,ALBANIA
M,02/03/2000,ALBANIA,,ALBANIA
F,23/11/2000,ALBANIA,,ALBANIA
F,04/01/2001,ALBANIA,,ALBANIA
F,03/12/2003,ALBANIA,,ALBANIA
F,08/05/2006,ALBANIA,,ALBANIA
M,01/09/2000,ALBANIA,,ALBANIA
F,09/04/2002,ALBANIA,,ALBANIA
M,14/10/2003,ALBANIA,,ALBANIA
F,29/06/2004,ALBANIA,,ALBANIA
F,19/02/2020,ALBANIA,,ALBANIA
F,27/07/2000,ALBANIA,,ALBANIA
M,04/02/2004,ALBANIA,,ALBANIA
M,10/05/2002,ALBANIA,,ALBANIA
M,15/09/2003,ALBANIA,,ALBANIA
F,10/05/2002,ALBANIA,,ALBANIA
M,16/05/2003,ALBANIA,,ALBANIA
M,13/02/2003,ALBANIA,,ALBANIA
F,20/06/2013,ALBANIA,,ALBANIA
M,07/12/2011,ALBANIA,,ALBANIA
M,17/07/2003,ALBANIA,,ALBANIA
M,17/07/2003,ALBANIA,,ALBANIA
M,03/10/2001,ALBANIA,,ALBANIA
F,19/09/2007,ALBANIA,,ALBANIA
F,17/07/2003,ALBANIA,,ALBANIA
F,03/10/2001,ALBANIA,,ALBANIA
F,04/05/2011,ALBANIA,,ALBANIA
M,11/10/2005,ALBANIA,,ALBANIA
F,11/10/2005,ALBANIA,,ALBANIA
F,22/04/2003,ALBANIA,,ALBANIA
F,22/04/2003,ALBANIA,,ALBANIA
M,31/10/2003,ALBANIA,,ALBANIA
F,12/08/2019,ALBANIA,,ALBANIA
M,09/11/2006,ALBANIA,,ALBANIA
F,11/12/2000,ALBANIA,,ALBANIA
M,03/06/2003,ALBANIA,,ALBANIA
F,16/04/2013,ALBANIA,,ALBANIA
F,04/01/2007,ALBANIA,,ALBANIA
M,04/01/2007,ALBANIA,,ALBANIA
M,12/01/2006,ALBANIA,,ALBANIA
F,16/05/2007,ALBANIA,,ALBANIA
M,11/01/2013,ALBANIA,,ALBANIA
M,06/02/2008,ALBANIA,,ALBANIA
M,25/11/2006,ALBANIA,,ALBANIA
F,06/02/2008,ALBANIA,,ALBANIA
M,10/03/2017,ALBANIA,,ALBANIA
F,21/03/2009,ALBANIA,,ALBANIA
M,23/04/2002,ALBANIA,,ALBANIA
M,22/09/2015,ALBANIA,,ALBANIA
M,03/10/2008,ALBANIA,,ALBANIA
M,06/03/2019,ALBANIA,,ALBANIA
M,30/04/2004,ALBANIA,,ALBANIA
F,05/09/2008,ALBANIA,,ALBANIA
F,05/09/2008,ALBANIA,,ALBANIA
M,11/12/2019,ALBANIA,,ALBANIA
M,22/12/2007,ALBANIA,,ALBANIA
M,24/01/2006,ALBANIA,,ALBANIA
F,19/01/2008,ALBANIA,,ALBANIA
M,16/01/2007,ALBANIA,,ALBANIA
F,19/01/2008,ALBANIA,,ALBANIA
F,23/11/2000,ALBANIA,,ALBANIA
F,16/03/2005,ALBANIA,,ALBANIA
F,01/10/2011,ALBANIA,,ALBANIA
F,24/11/2006,ALBANIA,,ALBANIA
F,26/01/2010,ALBANIA,,ALBANIA
F,31/08/2002,ALBANIA,,ALBANIA
F,04/06/2003,ALBANIA,,ALBANIA
M,19/12/2003,ALBANIA,,ALBANIA
M,08/08/2011,ALBANIA,,ALBANIA
M,25/07/2002,ALBANIA,,ALBANIA
F,21/03/2012,ALBANIA,,ALBANIA
F,08/07/2002,ALBANIA,,ALBANIA
F,21/03/2012,ALBANIA,,ALBANIA
M,09/01/2001,ALBANIA,,ALBANIA
F,31/08/2002,ALBANIA,,ALBANIA
M,28/11/2003,ALBANIA,,ALBANIA
F,21/02/2019,ALBANIA,,ALBANIA
M,20/11/2006,ALBANIA,,ALBANIA
M,28/08/2002,ALBANIA,,ALBANIA
F,20/02/2009,ALBANIA,,ALBANIA
F,25/06/2007,ALBANIA,,ALBANIA
F,26/09/2013,ALBANIA,,ALBANIA
F,16/08/2008,ALBANIA,,ALBANIA
M,25/05/2005,ALBANIA,,ALBANIA
M,16/08/2008,ALBANIA,,ALBANIA
F,16/08/2008,ALBANIA,,ALBANIA
F,25/05/2005,ALBANIA,,ALBANIA
M,18/04/2009,ALBANIA,,ALBANIA
M,10/07/2008,ALBANIA,,ALBANIA
M,18/09/2019,ALBANIA,,ALBANIA
F,10/10/2016,ALBANIA,,ALBANIA
M,04/07/2018,ALBANIA,,ALBANIA
M,06/09/2007,ALBANIA,,ALBANIA
M,06/09/2007,ALBANIA,,ALBANIA
M,17/07/2015,ALBANIA,,ALBANIA
F,14/04/2009,ALBANIA,,ALBANIA
F,17/07/2015,ALBANIA,,ALBANIA
F,19/06/2017,ALBANIA,,ALBANIA
M,16/12/2002,ALBANIA,,ALBANIA
F,03/12/2009,ALBANIA,,ALBANIA
M,03/12/2009,ALBANIA,,ALBANIA
F,18/11/2015,ALBANIA,,ALBANIA
M,14/06/2003,ALBANIA,,ALBANIA
F,16/12/2000,ALBANIA,,ALBANIA
F,31/08/2005,ALBANIA,,ALBANIA
F,21/02/2011,ALBANIA,,ALBANIA
M,29/10/2003,ALBANIA,,ALBANIA
F,23/08/2004,ALBANIA,,ALBANIA
M,12/05/2004,ALBANIA,,ALBANIA
F,12/01/2004,ALBANIA,,ALBANIA
M,15/11/2001,ALBANIA,,ALBANIA
F,17/12/2008,ALBANIA,,ALBANIA
F,29/10/2007,ALBANIA,,ALBANIA
F,14/08/2003,ALBANIA,,ALBANIA
M,14/08/2003,ALBANIA,,ALBANIA
M,14/08/2003,ALBANIA,,ALBANIA
M,05/11/2001,ALBANIA,,ALBANIA
F,06/05/2011,ALBANIA,,ALBANIA
F,21/05/2008,ALBANIA,,ALBANIA
M,24/11/2006,ALBANIA,,ALBANIA
M,18/05/2010,ALBANIA,,ALBANIA
M,02/01/2018,ALBANIA,,ALBANIA
F,24/11/2012,ALBANIA,,ALBANIA
M,18/09/2007,ALBANIA,,ALBANIA
F,07/12/2013,ALBANIA,,ALBANIA
M,04/08/2003,ALBANIA,,ALBANIA
F,15/07/2003,ALBANIA,,ALBANIA
M,22/12/2007,ALBANIA,,ALBANIA
F,22/12/2007,ALBANIA,,ALBANIA
M,02/12/2014,ALBANIA,,ALBANIA
F,27/04/2020,ALBANIA,,ALBANIA
M,10/01/2006,ALBANIA,,ALBANIA
M,17/10/2009,ALBANIA,,ALBANIA
M,26/01/2001,ALBANIA,,ALBANIA
F,04/02/2006,ALBANIA,,ALBANIA
M,14/07/2001,ALBANIA,,ALBANIA
F,17/03/2001,ALBANIA,,ALBANIA
M,26/01/2001,ALBANIA,,ALBANIA
M,23/10/2004,ALBANIA,,ALBANIA
M,15/12/2001,ALBANIA,,ALBANIA
M,15/12/2001,ALBANIA,,ALBANIA
F,25/03/2003,ALBANIA,,ALBANIA
F,11/02/2000,ALBANIA,,ALBANIA
M,07/06/2011,ALBANIA,,ALBANIA
F,07/06/2011,ALBANIA,,ALBANIA
F,16/05/2006,ALBANIA,,ALBANIA
M,10/07/2003,ALBANIA,,ALBANIA
F,23/04/2009,ALBANIA,,ALBANIA
F,14/01/2017,ALBANIA,,ALBANIA
M,19/04/2001,ALBANIA,,ALBANIA
M,06/02/2002,ALBANIA,,ALBANIA
F,15/09/2003,ALBANIA,,ALBANIA
F,06/02/2002,ALBANIA,,ALBANIA
M,06/02/2002,ALBANIA,,ALBANIA
F,07/07/2017,ALBANIA,,ALBANIA
M,07/07/2017,ALBANIA,,ALBANIA
M,07/07/2017,ALBANIA,,ALBANIA
M,29/10/2004,ALBANIA,,ALBANIA
F,17/08/2005,ALBANIA,,ALBANIA
M,17/08/2005,ALBANIA,,ALBANIA
M,17/08/2005,ALBANIA,,ALBANIA
F,17/08/2005,ALBANIA,,ALBANIA
F,14/04/2003,ALBANIA,,ALBANIA
M,27/11/2001,ALBANIA,,ALBANIA
F,20/07/2005,ALBANIA,,ALBANIA
F,12/09/2009,ALBANIA,,ALBANIA
F,12/09/2009,ALBANIA,,ALBANIA
F,22/03/2006,ALBANIA,,ALBANIA
M,04/06/2001,ALBANIA,,ALBANIA
F,16/03/2002,ALBANIA,,ALBANIA
F,04/06/2001,ALBANIA,,ALBANIA
M,22/03/2006,ALBANIA,,ALBANIA
M,04/06/2001,ALBANIA,,ALBANIA
M,12/02/2005,ALBANIA,,ALBANIA
F,27/04/2009,ALBANIA,,ALBANIA
M,02/09/2000,ALBANIA,,ALBANIA
F,07/08/2019,ALBANIA,,ALBANIA
M,12/02/2005,ALBANIA,,ALBANIA
M,07/08/2019,ALBANIA,,ALBANIA
M,12/02/2005,ALBANIA,,ALBANIA
M,17/03/2004,ALBANIA,,ALBANIA
F,12/02/2005,ALBANIA,,ALBANIA
M,13/02/2019,ALBANIA,,ALBANIA
F,05/04/2008,ALBANIA,,ALBANIA
F,14/07/2008,ALBANIA,,ALBANIA
M,20/03/2003,ALBANIA,,ALBANIA
M,03/06/2020,ALBANIA,,ALBANIA
F,26/03/2013,ALBANIA,,ALBANIA
M,17/11/2003,ALBANIA,,ALBANIA
F,11/01/2012,ALBANIA,,ALBANIA
M,28/04/2004,ALBANIA,,ALBANIA
M,19/02/2008,ALBANIA,,ALBANIA
M,14/03/2017,ALBANIA,,ALBANIA
F,14/03/2017,ALBANIA,,ALBANIA
F,02/05/2014,ALBANIA,,ALBANIA
F,25/01/2012,ALBANIA,,ALBANIA
M,27/03/2004,ALBENGA ,SV,ITALIA
F,05/11/2008,ALBIGNASEGO ,PD,ITALIA
M,24/03/2020,ALBIGNASEGO ,PD,ITALIA
M,05/02/2004,ALBIGNASEGO ,PD,ITALIA
M,16/02/2011,ALBIGNASEGO ,PD,ITALIA
M,29/12/2003,ALBIGNASEGO ,PD,ITALIA
F,31/03/2011,ALBIGNASEGO ,PD,ITALIA
M,13/06/2011,ALCAMO ,TP,ITALIA
F,18/02/2010,ALCAMO ,TP,ITALIA
F,13/06/2011,ALCAMO ,TP,ITALIA
M,30/04/2009,ALCAMO ,TP,ITALIA
F,14/11/2006,ALCAMO ,TP,ITALIA
F,10/02/2012,ALCAMO ,TP,ITALIA
M,16/07/2002,ALCARA LI FUSI ,ME,ITALIA
F,07/06/2016,ALESSANDRIA ,AL,ITALIA
M,20/11/2012,ALESSANDRIA ,AL,ITALIA
M,14/01/2019,ALESSANDRIA ,AL,ITALIA
M,22/10/2012,ALGERIA,,ALGERIA
F,18/01/2016,ALGERIA,,ALGERIA
M,18/01/2016,ALGERIA,,ALGERIA
M,04/01/2002,ALGERIA,,ALGERIA
M,22/02/2005,ALGERIA,,ALGERIA
M,21/01/2013,ALGHERO ,SS,ITALIA
M,21/01/2013,ALGHERO ,SS,ITALIA
M,27/03/2007,ALGHERO ,SS,ITALIA
F,15/03/2016,ALGHERO ,SS,ITALIA
F,21/01/2013,ALGHERO ,SS,ITALIA
M,15/03/2016,ALGHERO ,SS,ITALIA
M,15/03/2016,ALGHERO ,SS,ITALIA
M,15/03/2016,ALGHERO ,SS,ITALIA
F,03/01/2012,ALGHERO ,SS,ITALIA
F,28/12/2004,ALGHERO ,SS,ITALIA
F,30/10/2020,ALÌ ,ME,ITALIA
M,02/10/2010,ALÌ ,ME,ITALIA
F,09/12/2010,ALIFE ,CE,ITALIA
M,15/03/2008,ALIFE ,CE,ITALIA
F,15/03/2008,ALIFE ,CE,ITALIA
F,12/04/2006,ALIMENA ,PA,ITALIA
M,12/04/2006,ALIMENA ,PA,ITALIA
F,31/03/2015,ALLUVIONI CAMBIÒ ,AL,ITALIA
M,04/11/2019,ALPAGO ,BL,ITALIA
F,07/04/2016,ALPAGO ,BL,ITALIA
M,07/04/2016,ALPAGO ,BL,ITALIA
F,07/04/2016,ALPAGO ,BL,ITALIA
M,19/12/2006,ALTAMURA ,BA,ITALIA
M,19/12/2006,ALTAMURA ,BA,ITALIA
M,19/12/2006,ALTAMURA ,BA,ITALIA
F,19/12/2006,ALTAMURA ,BA,ITALIA
M,09/02/2008,ALTAMURA ,BA,ITALIA
M,24/12/2003,ALTAMURA ,BA,ITALIA
F,14/10/2019,ALTAMURA ,BA,ITALIA
M,26/11/2019,ALTAMURA ,BA,ITALIA
F,14/06/2006,ALTAMURA ,BA,ITALIA
F,07/10/2013,ALTAVILLA VICENTINA ,VI,ITALIA
F,26/04/2018,ALTAVILLA VICENTINA ,VI,ITALIA
F,17/04/2019,ALTOFONTE ,PA,ITALIA
M,03/05/2018,ALTOFONTE ,PA,ITALIA
F,22/01/2016,AMANTEA ,CS,ITALIA
F,18/10/2000,AMPEZZO ,UD,ITALIA
M,10/01/2006,ANAGNI ,FR,ITALIA
F,13/12/2012,ANCONA ,AN,ITALIA
M,24/01/2000,ANCONA ,AN,ITALIA
M,04/03/2016,ANDORA ,SV,ITALIA
F,23/10/2019,ANDRANO ,LE,ITALIA
F,15/10/2012,ANDRIA ,BA,ITALIA
F,16/12/2017,ANDRIA ,BA,ITALIA
F,27/02/2020,ANGOLA,,ANGOLA
F,26/08/2003,ANGOLA,,ANGOLA
F,29/05/2014,ANGOLA,,ANGOLA
M,02/08/2002,ANGOLA,,ANGOLA
F,02/08/2002,ANGOLA,,ANGOLA
M,23/01/2016,ANGRI ,SA,ITALIA
M,02/02/2013,ANGRI ,SA,ITALIA
F,03/08/2000,ANGRI ,SA,ITALIA
M,30/10/2019,ANNONE VENETO ,VE,ITALIA
F,09/01/2015,ANNONE VENETO ,VE,ITALIA
M,09/01/2015,ANNONE VENETO ,VE,ITALIA
M,09/01/2015,ANNONE VENETO ,VE,ITALIA
M,12/01/2015,ANNONE VENETO ,VE,ITALIA
F,09/01/2015,ANNONE VENETO ,VE,ITALIA
F,12/08/2014,ANNONE VENETO ,VE,ITALIA
M,12/08/2014,ANNONE VENETO ,VE,ITALIA
M,12/08/2014,ANNONE VENETO ,VE,ITALIA
F,12/08/2014,ANNONE VENETO ,VE,ITALIA
M,09/01/2015,ANNONE VENETO ,VE,ITALIA
F,02/04/2020,ANNONE VENETO ,VE,ITALIA
F,02/07/2013,ANNONE VENETO ,VE,ITALIA
M,02/07/2013,ANNONE VENETO ,VE,ITALIA
M,11/06/2001,ANNONE VENETO ,VE,ITALIA
F,24/07/2019,ANNONE VENETO ,VE,ITALIA
F,07/11/2014,ANNONE VENETO ,VE,ITALIA
M,12/05/2011,ANNONE VENETO ,VE,ITALIA
F,10/08/2020,ANNONE VENETO ,VE,ITALIA
F,01/10/2018,ANNONE VENETO ,VE,ITALIA
M,26/09/2018,ANNONE VENETO ,VE,ITALIA
M,26/09/2018,ANNONE VENETO ,VE,ITALIA
M,26/09/2018,ANNONE VENETO ,VE,ITALIA
M,11/08/2006,ANNONE VENETO ,VE,ITALIA
F,11/08/2006,ANNONE VENETO ,VE,ITALIA
F,20/06/2014,ANNONE VENETO ,VE,ITALIA
M,21/05/2015,ANNONE VENETO ,VE,ITALIA
M,21/05/2015,ANNONE VENETO ,VE,ITALIA
F,31/01/2012,ANNONE VENETO ,VE,ITALIA
M,28/11/2012,ANNONE VENETO ,VE,ITALIA
M,28/11/2012,ANNONE VENETO ,VE,ITALIA
F,28/10/2019,ANNONE VENETO ,VE,ITALIA
F,12/06/2010,ANNONE VENETO ,VE,ITALIA
F,27/01/2017,ANNONE VENETO ,VE,ITALIA
F,26/03/2008,ANNONE VENETO ,VE,ITALIA
F,22/02/2014,ANNONE VENETO ,VE,ITALIA
M,24/11/2010,ANNONE VENETO ,VE,ITALIA
F,25/08/2015,ANNONE VENETO ,VE,ITALIA
F,02/02/2015,ANNONE VENETO ,VE,ITALIA
F,02/02/2015,ANNONE VENETO ,VE,ITALIA
F,14/02/2012,ANNONE VENETO ,VE,ITALIA
F,24/07/2019,ANNONE VENETO ,VE,ITALIA
F,24/11/2010,ANNONE VENETO ,VE,ITALIA
M,20/01/2007,ANNONE VENETO ,VE,ITALIA
M,04/06/2008,ANNONE VENETO ,VE,ITALIA
F,22/07/2000,ANNONE VENETO ,VE,ITALIA
M,09/01/2007,ANNONE VENETO ,VE,ITALIA
M,21/11/2015,ANNONE VENETO ,VE,ITALIA
F,20/07/2009,ANNONE VENETO ,VE,ITALIA
F,21/05/2015,ANNONE VENETO ,VE,ITALIA
M,10/02/2015,ANNONE VENETO ,VE,ITALIA
F,28/11/2012,ANNONE VENETO ,VE,ITALIA
M,02/12/2004,ANNONE VENETO ,VE,ITALIA
F,07/01/2014,ANNONE VENETO ,VE,ITALIA
M,04/09/2014,ANNONE VENETO ,VE,ITALIA
F,20/01/2007,ANNONE VENETO ,VE,ITALIA
M,24/11/2018,ANNONE VENETO ,VE,ITALIA
M,24/11/2018,ANNONE VENETO ,VE,ITALIA
F,24/11/2018,ANNONE VENETO ,VE,ITALIA
M,24/11/2018,ANNONE VENETO ,VE,ITALIA
F,24/11/2018,ANNONE VENETO ,VE,ITALIA
F,10/02/2009,ANNONE VENETO ,VE,ITALIA
M,18/05/2015,ANNONE VENETO ,VE,ITALIA
M,20/07/2020,ANNONE VENETO ,VE,ITALIA
M,18/04/2019,ANNONE VENETO ,VE,ITALIA
F,24/11/2018,ANNONE VENETO ,VE,ITALIA
F,02/04/2020,ANNONE VENETO ,VE,ITALIA
F,02/04/2020,ANNONE VENETO ,VE,ITALIA
F,11/11/2020,ANNONE VENETO ,VE,ITALIA
F,20/01/2007,ANNONE VENETO ,VE,ITALIA
F,19/09/2009,ANNONE VENETO ,VE,ITALIA
M,19/09/2009,ANNONE VENETO ,VE,ITALIA
M,28/10/2019,ANNONE VENETO ,VE,ITALIA
M,02/07/2013,ANNONE VENETO ,VE,ITALIA
F,06/06/2007,ANNONE VENETO ,VE,ITALIA
F,11/08/2006,ANNONE VENETO ,VE,ITALIA
M,13/05/2000,ANNONE VENETO ,VE,ITALIA
M,06/10/2008,ANNONE VENETO ,VE,ITALIA
F,20/12/2018,ANNONE VENETO ,VE,ITALIA
M,20/12/2018,ANNONE VENETO ,VE,ITALIA
M,20/12/2018,ANNONE VENETO ,VE,ITALIA
M,20/12/2018,ANNONE VENETO ,VE,ITALIA
M,09/09/2004,ANNONE VENETO ,VE,ITALIA
M,12/11/2001,ANNONE VENETO ,VE,ITALIA
M,07/01/2014,ANNONE VENETO ,VE,ITALIA
F,07/01/2014,ANNONE VENETO ,VE,ITALIA
M,07/01/2014,ANNONE VENETO ,VE,ITALIA
M,07/01/2014,ANNONE VENETO ,VE,ITALIA
F,07/01/2014,ANNONE VENETO ,VE,ITALIA
F,09/06/2016,ANNONE VENETO ,VE,ITALIA
M,07/01/2016,ANNONE VENETO ,VE,ITALIA
M,07/01/2016,ANNONE VENETO ,VE,ITALIA
F,07/01/2016,ANNONE VENETO ,VE,ITALIA
F,15/11/2004,ANNONE VENETO ,VE,ITALIA
F,26/09/2015,ANNONE VENETO ,VE,ITALIA
M,10/05/2018,ANNONE VENETO ,VE,ITALIA
F,05/11/2020,ANNONE VENETO ,VE,ITALIA
M,05/12/2018,ANNONE VENETO ,VE,ITALIA
F,21/05/2018,ANNONE VENETO ,VE,ITALIA
M,09/01/2001,ANNONE VENETO ,VE,ITALIA
M,04/08/2001,ANNONE VENETO ,VE,ITALIA
F,24/07/2012,ANNONE VENETO ,VE,ITALIA
F,04/08/2017,ANNONE VENETO ,VE,ITALIA
M,17/10/2009,ANNONE VENETO ,VE,ITALIA
M,30/12/2019,ANNONE VENETO ,VE,ITALIA
M,17/10/2009,ANNONE VENETO ,VE,ITALIA
F,30/12/2019,ANNONE VENETO ,VE,ITALIA
M,17/10/2009,ANNONE VENETO ,VE,ITALIA
F,17/10/2009,ANNONE VENETO ,VE,ITALIA
M,12/08/2019,ANNONE VENETO ,VE,ITALIA
F,17/10/2009,ANNONE VENETO ,VE,ITALIA
F,16/01/2006,ANNONE VENETO ,VE,ITALIA
M,07/02/2001,ANNONE VENETO ,VE,ITALIA
M,09/01/2001,ANNONE VENETO ,VE,ITALIA
F,22/05/2019,ANNONE VENETO ,VE,ITALIA
F,24/07/2020,ANNONE VENETO ,VE,ITALIA
F,13/07/2005,ANNONE VENETO ,VE,ITALIA
M,22/09/2004,ANNONE VENETO ,VE,ITALIA
M,03/11/2014,ANNONE VENETO ,VE,ITALIA
F,09/08/2001,ANNONE VENETO ,VE,ITALIA
F,02/12/2016,ANNONE VENETO ,VE,ITALIA
M,09/08/2001,ANNONE VENETO ,VE,ITALIA
F,09/08/2001,ANNONE VENETO ,VE,ITALIA
M,14/02/2000,ANNONE VENETO ,VE,ITALIA
M,17/07/2017,ANNONE VENETO ,VE,ITALIA
M,25/08/2015,ANNONE VENETO ,VE,ITALIA
F,24/06/2009,ANNONE VENETO ,VE,ITALIA
M,05/09/2014,ANNONE VENETO ,VE,ITALIA
M,07/06/2017,ANNONE VENETO ,VE,ITALIA
M,06/02/2003,ANNONE VENETO ,VE,ITALIA
F,17/08/2004,ANNONE VENETO ,VE,ITALIA
F,28/07/2015,ANNONE VENETO ,VE,ITALIA
M,28/07/2015,ANNONE VENETO ,VE,ITALIA
M,28/07/2015,ANNONE VENETO ,VE,ITALIA
F,20/07/2015,ANNONE VENETO ,VE,ITALIA
F,28/07/2015,ANNONE VENETO ,VE,ITALIA
M,28/07/2015,ANNONE VENETO ,VE,ITALIA
F,09/01/2001,ANNONE VENETO ,VE,ITALIA
F,21/09/2005,ANNONE VENETO ,VE,ITALIA
F,06/04/2000,ANNONE VENETO ,VE,ITALIA
M,16/08/2018,ANNONE VENETO ,VE,ITALIA
M,07/02/2014,ANNONE VENETO ,VE,ITALIA
M,04/05/2009,ANNONE VENETO ,VE,ITALIA
F,04/05/2009,ANNONE VENETO ,VE,ITALIA
F,05/03/2020,ANNONE VENETO ,VE,ITALIA
M,22/02/2016,ANNONE VENETO ,VE,ITALIA
F,02/08/2010,ANNONE VENETO ,VE,ITALIA
M,26/03/2003,ANNONE VENETO ,VE,ITALIA
M,16/11/2009,ANNONE VENETO ,VE,ITALIA
M,28/06/2007,ANNONE VENETO ,VE,ITALIA
M,17/01/2009,ANNONE VENETO ,VE,ITALIA
F,13/03/2002,ANNONE VENETO ,VE,ITALIA
F,02/02/2015,ANNONE VENETO ,VE,ITALIA
M,02/02/2015,ANNONE VENETO ,VE,ITALIA
F,02/02/2015,ANNONE VENETO ,VE,ITALIA
