DATA ISCRIZIONE,DESCRIZIONE COMUNE PROVENIENZA,SIGLA PROVINCIA PROVENIENZA,STATO ESTERO DI PROVENIENZA
23/01/81,SAN VITO AL TAGLIAMENTO,PN,
16/12/75,NUOVE EBRIDI,,REGNO UNITO
09/08/77,SAN GIORGIO DI NOGARO,UD,
04/12/80,LATISANA,UD,
03/06/60,SAN MICHELE AL TAGLIAMENTO,VE,
03/03/62,SAN VITO AL TAGLIAMENTO,PN,
28/08/63,LATISANA,UD,
10/08/83,VENEZIA,VE,
18/01/34,SAN MICHELE AL TAGLIAMENTO,VE,
10/03/34,SAN MICHELE AL TAGLIAMENTO,VE,
14/10/19,CORDOVADO,PN,
26/01/53,SAN MICHELE AL TAGLIAMENTO,VE,
06/08/79,PREPOTTO,UD,
20/10/52,CASARSA DELLA DELIZIA,PN,
27/01/54,SAN MICHELE AL TAGLIAMENTO,VE,
26/07/43,SAN MICHELE AL TAGLIAMENTO,VE,
08/09/46,SAN MICHELE AL TAGLIAMENTO,VE,
16/11/74,LATISANA,UD,
24/06/61,TEGLIO VENETO,VE,
18/05/83,TEGLIO VENETO,VE,
18/04/51,SAN MICHELE AL TAGLIAMENTO,VE,
28/09/72,CAMINO AL TAGLIAMENTO,UD,
27/06/35,SAN MICHELE AL TAGLIAMENTO,VE,
31/05/38,SAN MICHELE AL TAGLIAMENTO,VE,
16/09/65,SAN MICHELE AL TAGLIAMENTO,VE,
20/03/31,SAN MICHELE AL TAGLIAMENTO,VE,
09/06/75,MOGLIANO VENETO,TV,
05/08/65,LATISANA,UD,
02/03/52,SAN MICHELE AL TAGLIAMENTO,VE,
27/04/73,LATISANA,UD,
10/02/47,SAN MICHELE AL TAGLIAMENTO,VE,
16/11/74,MORSANO AL TAGLIAMENTO,PN,
04/09/33,SAN MICHELE AL TAGLIAMENTO,VE,
27/06/60,LATISANA,UD,
25/02/83,NIGERIA,,NIGERIA
21/07/48,SAN MICHELE AL TAGLIAMENTO,VE,
15/10/74,CAORLE,VE,
15/10/74,CAORLE,VE,
25/09/49,SAN MICHELE AL TAGLIAMENTO,VE,
12/06/71,LATISANA,UD,
10/07/06,LIGNANO SABBIADORO,UD,
13/09/73,LATISANA,UD,
15/03/54,PORTOGRUARO,VE,
27/03/56,SAN MICHELE AL TAGLIAMENTO,VE,
21/09/52,SAN MICHELE AL TAGLIAMENTO,VE,
19/01/77,PORTOGRUARO,VE,
21/08/82,LATISANA,UD,
09/04/44,SAN MICHELE AL TAGLIAMENTO,VE,
22/06/42,SAN MICHELE AL TAGLIAMENTO,VE,
02/01/63,SAN MICHELE AL TAGLIAMENTO,VE,
20/08/70,LATISANA,UD,
05/02/48,SAN MICHELE AL TAGLIAMENTO,VE,
06/07/38,SAN MICHELE AL TAGLIAMENTO,VE,
17/10/66,FOSSALTA DI PORTOGRUARO,VE,
03/01/08,UDINE,UD,
21/02/35,SAN MICHELE AL TAGLIAMENTO,VE,
14/09/62,PRECENICCO,UD,
23/09/56,SAN MICHELE AL TAGLIAMENTO,VE,
18/11/57,SAN MICHELE AL TAGLIAMENTO,VE,
28/01/76,LATISANA,UD,
01/03/75,LUCIGNANO,AR,
11/11/78,PONTE DI PIAVE,TV,
17/01/07,LATISANA,UD,
11/07/66,CASTEL VOLTURNO,CE,
21/07/67,SAN MICHELE AL TAGLIAMENTO,VE,
13/08/73,LATISANA,UD,
03/07/56,SAN MICHELE AL TAGLIAMENTO,VE,
31/05/56,SAN MICHELE AL TAGLIAMENTO,VE,
22/08/73,PORTOGRUARO,VE,
11/10/07,LATISANA,UD,
30/09/74,CORDENONS,PN,
12/03/64,MONTICELLI D'ONGINA,PC,
20/02/56,SAN MICHELE AL TAGLIAMENTO,VE,
22/01/82,LATISANA,UD,
22/01/82,LATISANA,UD,
22/01/82,LATISANA,UD,
07/05/60,PORTOGRUARO,VE,
14/09/82,ANDREIS,PN,
16/01/65,PORTOGRUARO,VE,
03/11/09,LATISANA,UD,
02/10/12,LATISANA,UD,
02/04/79,MILANO,MI,
02/04/79,MILANO,MI,
03/04/39,SAN MICHELE AL TAGLIAMENTO,VE,
08/12/65,SAN MICHELE AL TAGLIAMENTO,VE,
26/10/57,SAN MICHELE AL TAGLIAMENTO,VE,
25/07/94,VENEZIA,VE,
14/05/54,LAMON,BL,
01/05/78,LATISANA,UD,
01/05/78,LATISANA,UD,
04/10/71,LAMON,BL,
30/05/67,LATISANA,UD,
26/07/46,PORTOGRUARO,VE,
04/11/49,SAN MICHELE AL TAGLIAMENTO,VE,
05/07/72,LATISANA,UD,
11/09/78,LATISANA,UD,
19/11/70,PORTOGRUARO,VE,
07/05/33,SAN MICHELE AL TAGLIAMENTO,VE,
01/08/66,UDINE,UD,
20/02/75,UDINE,UD,
21/10/71,PORTOGRUARO,VE,
21/10/71,PORTOGRUARO,VE,
20/07/79,LATISANA,UD,
13/12/47,SAN MICHELE AL TAGLIAMENTO,VE,
30/08/78,AZZANO DECIMO,PN,
03/04/79,SAN VITO AL TAGLIAMENTO,PN,
28/12/61,SAN MICHELE AL TAGLIAMENTO,VE,
16/08/64,SAN VITO AL TAGLIAMENTO,PN,
07/04/37,SAN MICHELE AL TAGLIAMENTO,VE,
01/04/31,SAN MICHELE AL TAGLIAMENTO,VE,
22/01/66,SAN MICHELE AL TAGLIAMENTO,VE,
24/10/69,SAN MICHELE AL TAGLIAMENTO,VE,
20/07/35,SAN MICHELE AL TAGLIAMENTO,VE,
29/04/39,SAN MICHELE AL TAGLIAMENTO,VE,
12/07/60,SAN MICHELE AL TAGLIAMENTO,VE,
18/06/54,FOSSALTA DI PORTOGRUARO,VE,
19/09/30,SAN MICHELE AL TAGLIAMENTO,VE,
27/04/39,SAN MICHELE AL TAGLIAMENTO,VE,
24/11/42,SAN MICHELE AL TAGLIAMENTO,VE,
23/05/48,SAN MICHELE AL TAGLIAMENTO,VE,
07/07/69,SAN VITO AL TAGLIAMENTO,PN,
24/11/46,SAN MICHELE AL TAGLIAMENTO,VE,
21/03/68,LATISANA,UD,
02/03/74,LATISANA,UD,
22/11/32,SAN MICHELE AL TAGLIAMENTO,VE,
21/07/62,SAN MICHELE AL TAGLIAMENTO,VE,
26/09/78,FOSSALTA DI PORTOGRUARO,VE,
14/05/59,SAN MICHELE AL TAGLIAMENTO,VE,
11/03/82,LATISANA,UD,
31/03/76,SVIZZERA,,SVIZZERA
21/04/50,SAN MICHELE AL TAGLIAMENTO,VE,
07/09/71,WATTWIL,,SVIZZERA
27/11/33,SAN MICHELE AL TAGLIAMENTO,VE,
15/11/70,LATISANA,UD,
18/12/55,SAN MICHELE AL TAGLIAMENTO,VE,
28/01/55,SAN MICHELE AL TAGLIAMENTO,VE,
20/05/75,SAN GIORGIO DELLA RICHINVELDA,PN,
25/06/81,LATISANA,UD,
01/07/66,LATISANA,UD,
01/07/66,LATISANA,UD,
24/08/02,CONCORDIA SAGITTARIA,VE,
24/08/67,LATISANA,UD,
13/03/70,LATISANA,UD,
03/01/78,LATISANA,UD,
02/01/55,SAN MICHELE AL TAGLIAMENTO,VE,
05/10/74,LATISANA,UD,
05/03/80,LATISANA,UD,
07/06/81,LATISANA,UD,
28/09/77,MORSANO AL TAGLIAMENTO,PN,
10/10/51,SAN MICHELE AL TAGLIAMENTO,VE,
01/10/69,TORINO,TO,
16/11/78,LATISANA,UD,
30/05/54,SAN MICHELE AL TAGLIAMENTO,VE,
25/07/79,SAN VITO AL TAGLIAMENTO,PN,
23/08/77,SAN VITO AL TAGLIAMENTO,PN,
13/02/98,LIGNANO SABBIADORO,UD,
04/12/67,VERONA,VR,
12/06/44,SAN MICHELE AL TAGLIAMENTO,VE,
09/04/57,PORTOGRUARO,VE,
13/02/70,LATISANA,UD,
18/09/75,POZZUOLO DEL FRIULI,UD,
12/02/87,SEDEGLIANO,UD,
23/09/36,SAN MICHELE AL TAGLIAMENTO,VE,
09/06/73,LATISANA,UD,
18/09/69,SAN VITO AL TAGLIAMENTO,PN,
20/01/14,FOSSALTA DI PORTOGRUARO,VE,
17/03/35,SAN MICHELE AL TAGLIAMENTO,VE,
30/09/65,SAN MICHELE AL TAGLIAMENTO,VE,
17/06/51,SAN MICHELE AL TAGLIAMENTO,VE,
22/07/75,BRUGNERA,PN,
17/12/75,LATISANA,UD,
21/02/80,LATISANA,UD,
02/09/49,SAN MICHELE AL TAGLIAMENTO,VE,
07/12/76,CODROIPO,UD,
17/07/45,SAN MICHELE AL TAGLIAMENTO,VE,
09/04/49,SAN MICHELE AL TAGLIAMENTO,VE,
21/05/35,SAN MICHELE AL TAGLIAMENTO,VE,
21/01/40,SAN MICHELE AL TAGLIAMENTO,VE,
06/02/56,SAN MICHELE AL TAGLIAMENTO,VE,
21/08/98,UDINE,UD,
26/02/71,MORSANO AL TAGLIAMENTO,PN,
22/06/74,SAN VITO AL TAGLIAMENTO,PN,
04/01/52,UDINE,UD,
18/12/85,SEDEGLIANO,UD,
18/05/04,SEDEGLIANO,UD,
14/12/40,SAN MICHELE AL TAGLIAMENTO,VE,
13/04/79,SAN VITO AL TAGLIAMENTO,PN,
05/05/48,SAN MICHELE AL TAGLIAMENTO,VE,
03/06/68,SAN VITO AL TAGLIAMENTO,PN,
23/08/68,SAN VITO AL TAGLIAMENTO,PN,
03/05/46,SAN MICHELE AL TAGLIAMENTO,VE,
25/04/48,SAN MICHELE AL TAGLIAMENTO,VE,
16/03/69,SAN VITO AL TAGLIAMENTO,PN,
14/04/73,SAN VITO AL TAGLIAMENTO,PN,
01/10/76,VENEZIA,VE,
01/10/76,VENEZIA,VE,
31/01/39,SAN MICHELE AL TAGLIAMENTO,VE,
13/01/70,LATISANA,UD,
13/08/76,LATISANA,UD,
25/02/74,LATISANA,UD,
30/04/51,SAN MICHELE AL TAGLIAMENTO,VE,
02/12/54,SAN MICHELE AL TAGLIAMENTO,VE,
13/12/44,RONCHIS,UD,
29/11/99,CONEGLIANO,TV,
27/12/50,SAN MICHELE AL TAGLIAMENTO,VE,
21/04/75,LIGNANO SABBIADORO,UD,
04/01/76,LATISANA,UD,
01/12/63,PORTOGRUARO,VE,
24/10/70,SAN VITO AL TAGLIAMENTO,PN,
14/09/35,SAN MICHELE AL TAGLIAMENTO,VE,
23/04/82,SVIZZERA,,SVIZZERA
21/09/91,LATISANA,UD,
12/04/61,SAN MICHELE AL TAGLIAMENTO,VE,
13/03/48,LATISANA,UD,
18/09/48,SAN MICHELE AL TAGLIAMENTO,VE,
06/12/77,LATISANA,UD,
28/07/36,SAN MICHELE AL TAGLIAMENTO,VE,
01/12/39,SAN MICHELE AL TAGLIAMENTO,VE,
13/09/58,TEOR,UD,
10/10/65,LATISANA,UD,
21/12/15,BELGIO,,BELGIO
01/04/62,PORTOGRUARO,VE,
02/11/82,PALAZZOLO DELLO STELLA,UD,
22/11/89,PALAZZOLO DELLO STELLA,UD,
09/05/60,PALAZZOLO DELLO STELLA,UD,
23/05/60,LATISANA,UD,
29/12/75,SVIZZERA,,SVIZZERA
29/12/75,SVIZZERA,,SVIZZERA
29/12/75,SVIZZERA,,SVIZZERA
17/11/56,SAN MICHELE AL TAGLIAMENTO,VE,
03/01/79,CAORLE,VE,
05/01/16,CARLINO,UD,
05/01/16,CARLINO,UD,
09/07/75,SVIZZERA,,SVIZZERA
23/08/91,BASILIANO,UD,
21/03/49,SAN MICHELE AL TAGLIAMENTO,VE,
21/04/81,PALAZZOLO DELLO STELLA,UD,
02/11/79,LATISANA,UD,
04/09/96,LATISANA,UD,
02/11/79,LATISANA,UD,
30/06/76,SVIZZERA,,SVIZZERA
29/05/77,LATISANA,UD,
01/04/78,SVIZZERA,,SVIZZERA
01/04/78,SVIZZERA,,SVIZZERA
01/04/78,SVIZZERA,,SVIZZERA
07/05/82,TORINO,TO,
10/07/51,SAN MICHELE AL TAGLIAMENTO,VE,
05/06/80,CAMINO AL TAGLIAMENTO,UD,
03/04/71,BELGIO,,BELGIO
22/04/71,BELGIO,,BELGIO
07/08/46,SAN MICHELE AL TAGLIAMENTO,VE,
25/12/46,SAN MICHELE AL TAGLIAMENTO,VE,
06/10/69,LATISANA,UD,
03/02/33,SAN MICHELE AL TAGLIAMENTO,VE,
01/09/42,LATISANA,UD,
14/09/79,SVIZZERA,,SVIZZERA
14/09/79,SVIZZERA,,SVIZZERA
14/09/79,SVIZZERA,,SVIZZERA
16/09/32,SAN MICHELE AL TAGLIAMENTO,VE,
15/05/17,LATISANA,UD,
18/09/39,SAN MICHELE AL TAGLIAMENTO,VE,
29/07/31,SAN MICHELE AL TAGLIAMENTO,VE,
03/09/55,PORTOGRUARO,VE,
27/06/59,SAN MICHELE AL TAGLIAMENTO,VE,
27/06/59,SAN MICHELE AL TAGLIAMENTO,VE,
03/01/78,PORTOGRUARO,VE,
03/01/78,PORTOGRUARO,VE,
13/02/78,LATISANA,UD,
01/01/65,SENZA FISSA DIMORA,,IN CORSO DI DEFINIZIONE
14/04/67,PORTOGRUARO,VE,
20/02/75,PORTOGRUARO,VE,
24/10/71,SENZA FISSA DIMORA,,IN CORSO DI DEFINIZIONE
29/10/80,CORDENONS,PN,
23/05/34,SAN MICHELE AL TAGLIAMENTO,VE,
04/02/38,LATISANA,UD,
11/04/38,SAN MICHELE AL TAGLIAMENTO,VE,
12/05/57,SAN MICHELE AL TAGLIAMENTO,VE,
26/10/43,SAN MICHELE AL TAGLIAMENTO,VE,
02/12/10,MORSANO AL TAGLIAMENTO,PN,
10/04/09,MORSANO AL TAGLIAMENTO,PN,
24/01/13,CONCORDIA SAGITTARIA,VE,
24/10/71,SENZA FISSA DIMORA,,IN CORSO DI DEFINIZIONE
30/08/80,SAN VITO AL TAGLIAMENTO,PN,
03/03/80,BREDA DI PIAVE,TV,
26/04/83,BREDA DI PIAVE,TV,
30/07/83,SAN VITO AL TAGLIAMENTO,PN,
24/10/71,SENZA FISSA DIMORA,,IN CORSO DI DEFINIZIONE
21/08/36,SAN MICHELE AL TAGLIAMENTO,VE,
16/07/62,SAN MICHELE AL TAGLIAMENTO,VE,
18/12/65,LATISANA,UD,
16/12/80,SVIZZERA,,SVIZZERA
25/11/36,SAN MICHELE AL TAGLIAMENTO,VE,
24/10/58,SAN MICHELE AL TAGLIAMENTO,VE,
16/12/65,LATISANA,UD,
09/05/52,SAN MICHELE AL TAGLIAMENTO,VE,
27/10/79,UDINE,UD,
18/05/81,LATISANA,UD,
23/10/40,SAN MICHELE AL TAGLIAMENTO,VE,
16/10/41,SAN MICHELE AL TAGLIAMENTO,VE,
17/05/66,LATISANA,UD,
07/09/74,LATISANA,UD,
04/02/46,SAN MICHELE AL TAGLIAMENTO,VE,
12/02/13,BRESCIA,BS,
10/05/69,PORTOGRUARO,VE,
26/06/72,CORDOVADO,PN,
09/11/72,LATISANA,UD,
06/05/75,LATISANA,UD,
14/07/79,LATISANA,UD,
10/05/69,PORTOGRUARO,VE,
06/08/48,SAN MICHELE AL TAGLIAMENTO,VE,
02/08/72,TORINO,TO,
04/03/77,LATISANA,UD,
20/08/48,SAN MICHELE AL TAGLIAMENTO,VE,
19/09/57,SAN MICHELE AL TAGLIAMENTO,VE,
08/02/01,SAN VITO AL TAGLIAMENTO,PN,
29/05/40,SAN MICHELE AL TAGLIAMENTO,VE,
08/05/67,PORTOGRUARO,VE,
07/01/68,LATISANA,UD,
05/01/45,SAN MICHELE AL TAGLIAMENTO,VE,
29/04/46,SAN MICHELE AL TAGLIAMENTO,VE,
28/11/66,LATISANA,UD,
19/02/19,PORTOGRUARO,VE,
12/01/76,SVIZZERA,,SVIZZERA
07/08/75,SVIZZERA,,SVIZZERA
07/08/75,SVIZZERA,,SVIZZERA
08/10/46,LATISANA,UD,
05/03/34,SAN MICHELE AL TAGLIAMENTO,VE,
09/01/62,TEGLIO VENETO,VE,
22/11/62,SAN MICHELE AL TAGLIAMENTO,VE,
25/03/34,SAN MICHELE AL TAGLIAMENTO,VE,
24/05/59,SAN MICHELE AL TAGLIAMENTO,VE,
25/10/64,SAN MICHELE AL TAGLIAMENTO,VE,
04/10/55,SAN MICHELE AL TAGLIAMENTO,VE,
05/11/53,SAN MICHELE AL TAGLIAMENTO,VE,
29/08/80,TARANTO,TA,
29/08/80,TARANTO,TA,
29/08/80,TARANTO,TA,
09/06/38,SAN MICHELE AL TAGLIAMENTO,VE,
29/01/62,SAN MICHELE AL TAGLIAMENTO,VE,
06/06/77,CHIANNI,PI,
30/10/02,FOSSALTA DI PORTOGRUARO,VE,
29/08/29,SAN MICHELE AL TAGLIAMENTO,VE,
21/05/60,SAN MICHELE AL TAGLIAMENTO,VE,
23/03/68,SAN MICHELE AL TAGLIAMENTO,VE,
10/05/77,FOSSALTA DI PORTOGRUARO,VE,
27/04/83,LATISANA,UD,
05/10/64,LATISANA,UD,
26/08/49,SAN MICHELE AL TAGLIAMENTO,VE,
12/03/77,PORTOGRUARO,VE,
23/02/37,SAN MICHELE AL TAGLIAMENTO,VE,
15/11/60,MORSANO AL TAGLIAMENTO,PN,
07/05/40,SAN MICHELE AL TAGLIAMENTO,VE,
22/07/68,PORCIA,PN,
25/04/73,LATISANA,UD,
14/01/51,PORTOGRUARO,VE,
26/11/74,PORTOGRUARO,VE,
27/03/72,PORTOGRUARO,VE,
06/05/75,SAN VITO AL TAGLIAMENTO,PN,
04/04/70,RONCHIS,UD,
29/09/73,SAN VITO AL TAGLIAMENTO,PN,
25/10/75,SAN VITO AL TAGLIAMENTO,PN,
21/12/45,PORTOGRUARO,VE,
23/04/67,SAN VITO AL TAGLIAMENTO,PN,
19/11/72,SAN VITO AL TAGLIAMENTO,PN,
15/07/81,SAN VITO AL TAGLIAMENTO,PN,
12/02/64,MORSANO AL TAGLIAMENTO,PN,
22/09/81,LIGNANO SABBIADORO,UD,
22/09/81,LIGNANO SABBIADORO,UD,
17/01/79,LATISANA,UD,
17/01/79,LATISANA,UD,
14/11/80,LATISANA,UD,
05/11/40,SAN MICHELE AL TAGLIAMENTO,VE,
05/09/44,PORTOGRUARO,VE,
30/08/35,LATISANA,UD,
04/12/70,CAMPOFORMIDO,UD,
08/01/73,LATISANA,UD,
15/02/61,ARGENTINA,,ARGENTINA
29/08/76,STREGNA,UD,
28/06/12,PORTOGRUARO,VE,
26/06/76,PORTOGRUARO,VE,
26/06/76,PORTOGRUARO,VE,
09/08/78,LATISANA,UD,
10/02/58,ARGENTINA,,ARGENTINA
12/02/76,VALDOBBIADENE,TV,
26/08/61,BELGIO,,BELGIO
26/08/61,BELGIO,,BELGIO
26/08/61,BELGIO,,BELGIO
08/03/79,TOLENTINO,MC,
08/09/56,SAN MICHELE AL TAGLIAMENTO,VE,
17/06/70,TORINO,TO,
13/06/14,GIAVENO,TO,
17/06/71,LATISANA,UD,
09/03/46,SAN MICHELE AL TAGLIAMENTO,VE,
03/01/63,RONCHIS,UD,
15/09/39,SAN MICHELE AL TAGLIAMENTO,VE,
22/11/05,BRUGNERA,PN,
20/05/67,LATISANA,UD,
03/03/75,COLLEGNO,TO,
02/01/63,LATISANA,UD,
22/12/78,CODROIPO,UD,
22/12/78,CODROIPO,UD,
12/01/13,FOSSALTA DI PORTOGRUARO,VE,
18/06/79,SAN VITO AL TAGLIAMENTO,PN,
06/03/43,SAN MICHELE AL TAGLIAMENTO,VE,
11/05/52,SAN MICHELE AL TAGLIAMENTO,VE,
30/12/77,SAN VITO AL TAGLIAMENTO,PN,
08/08/06,LAVIS,TN,
17/09/33,SAN MICHELE AL TAGLIAMENTO,VE,
21/10/52,SAN MICHELE AL TAGLIAMENTO,VE,
12/06/79,POCENIA,UD,
17/02/63,LATISANA,UD,
05/04/34,SAN MICHELE AL TAGLIAMENTO,VE,
18/03/68,SAN MICHELE AL TAGLIAMENTO,VE,
04/10/54,SAN MICHELE AL TAGLIAMENTO,VE,
28/04/59,SAN MICHELE AL TAGLIAMENTO,VE,
17/03/80,SAN VITO AL TAGLIAMENTO,PN,
28/02/01,MORSANO AL TAGLIAMENTO,PN,
20/11/03,MORSANO AL TAGLIAMENTO,PN,
15/10/71,FOSSALTA DI PORTOGRUARO,VE,
13/12/77,SAN VITO AL TAGLIAMENTO,PN,
11/08/76,MORSANO AL TAGLIAMENTO,PN,
11/08/76,MORSANO AL TAGLIAMENTO,PN,
20/12/33,SAN MICHELE AL TAGLIAMENTO,VE,
