DATA ISCRIZIONE,DESCRIZIONE COMUNE PROVENIENZA,SIGLA PROVINCIA PROVENIENZA,STATO ESTERO DI PROVENIENZA
24/05/38,SAN MICHELE AL TAGLIAMENTO,VE,
05/08/70,LATISANA,UD,
16/08/54,SAN MICHELE AL TAGLIAMENTO,VE,
10/11/80,SAN VITO AL TAGLIAMENTO,PN,
26/06/09,CALDONAZZO,TN,
15/12/17,LATISANA,UD,
08/04/34,SAN MICHELE AL TAGLIAMENTO,VE,
03/06/67,ROCCELLA IONICA,RC,
12/10/00,NAPOLI,NA,
30/10/69,LATISANA,UD,
09/07/73,CAORLE,VE,
09/07/73,CAORLE,VE,
08/07/58,SAN MICHELE AL TAGLIAMENTO,VE,
07/06/64,LATISANA,UD,
14/06/74,LATISANA,UD,
03/08/15,ZERO BRANCO,TV,
18/05/81,FRANCIA,,FRANCIA
18/05/81,FRANCIA,,FRANCIA
18/05/81,FRANCIA,,FRANCIA
02/06/54,SAN MICHELE AL TAGLIAMENTO,VE,
23/03/81,PALAZZOLO DELLO STELLA,UD,
11/07/13,CORDENONS,PN,
21/09/92,DOLO,VE,
11/12/52,CAORLE,VE,
20/02/58,TEOR,UD,
10/05/60,TEOR,UD,
24/01/65,LATISANA,UD,
29/09/66,LATISANA,UD,
11/09/50,SAN MICHELE AL TAGLIAMENTO,VE,
22/01/54,SAN MICHELE AL TAGLIAMENTO,VE,
12/12/78,FOSSALTA DI PORTOGRUARO,VE,
29/05/79,LATISANA,UD,
16/08/56,SAN MICHELE AL TAGLIAMENTO,VE,
05/12/79,ROVELLO PORRO,CO,
11/12/08,LATISANA,UD,
08/01/63,LATISANA,UD,
04/12/81,LATISANA,UD,
26/05/76,PAVIA DI UDINE,UD,
26/05/76,PAVIA DI UDINE,UD,
20/12/38,SAN MICHELE AL TAGLIAMENTO,VE,
26/09/43,SAN MICHELE AL TAGLIAMENTO,VE,
17/11/79,LATISANA,UD,
17/11/79,LATISANA,UD,
17/11/79,LATISANA,UD,
28/10/49,SAN VITO AL TAGLIAMENTO,PN,
19/12/71,LATISANA,UD,
18/11/78,PALAZZOLO DELLO STELLA,UD,
16/01/17,RONCHIS,UD,
10/03/86,UDINE,UD,
27/09/68,LATISANA,UD,
19/02/60,PORTOGRUARO,VE,
13/05/63,SAN MICHELE AL TAGLIAMENTO,VE,
21/02/19,LATISANA,UD,
06/04/51,SAN MICHELE AL TAGLIAMENTO,VE,
21/02/56,SAN MICHELE AL TAGLIAMENTO,VE,
15/07/76,LATISANA,UD,
27/03/37,SAN MICHELE AL TAGLIAMENTO,VE,
20/10/49,LATISANA,UD,
09/06/47,SAN MICHELE AL TAGLIAMENTO,VE,
01/08/00,TORINO,TO,
25/02/57,MORSANO AL TAGLIAMENTO,PN,
21/11/58,SAN VITO AL TAGLIAMENTO,PN,
29/08/62,SAN VITO AL TAGLIAMENTO,PN,
10/09/64,SAN VITO AL TAGLIAMENTO,PN,
23/10/65,SAN VITO AL TAGLIAMENTO,PN,
29/06/83,MORSANO AL TAGLIAMENTO,PN,
29/06/83,MORSANO AL TAGLIAMENTO,PN,
13/02/91,CODROIPO,UD,
30/10/78,MILANO,MI,
05/08/80,MILANO,MI,
10/08/36,SAN MICHELE AL TAGLIAMENTO,VE,
02/08/52,LATISANA,UD,
02/09/81,THIENE,VI,
10/09/79,LATISANA,UD,
13/10/69,LATISANA,UD,
14/10/47,SAN MICHELE AL TAGLIAMENTO,VE,
18/06/66,SAN VITO AL TAGLIAMENTO,PN,
06/04/70,LATISANA,UD,
09/06/81,PORTOGRUARO,VE,
09/06/81,PORTOGRUARO,VE,
09/06/81,PORTOGRUARO,VE,
09/06/81,PORTOGRUARO,VE,
28/03/83,PORTOGRUARO,VE,
28/03/83,PORTOGRUARO,VE,
19/04/46,SAN MICHELE AL TAGLIAMENTO,VE,
04/06/19,PALAZZOLO DELLO STELLA,UD,
16/08/01,CONCORDIA SAGITTARIA,VE,
12/08/61,RONCHIS,UD,
21/08/61,RONCHIS,UD,
07/08/78,LATISANA,UD,
09/03/76,SVIZZERA,,SVIZZERA
09/03/76,SVIZZERA,,SVIZZERA
09/03/76,SVIZZERA,,SVIZZERA
30/12/75,SVIZZERA,,SVIZZERA
04/06/77,MEL,BL,
27/05/78,LATISANA,UD,
19/06/34,SAN MICHELE AL TAGLIAMENTO,VE,
18/08/61,SAN MICHELE AL TAGLIAMENTO,VE,
15/02/69,SAN MICHELE AL TAGLIAMENTO,VE,
29/05/36,SAN MICHELE AL TAGLIAMENTO,VE,
18/01/02,PORTOGRUARO,VE,
07/01/79,ZERO BRANCO,TV,
01/04/68,GERMANIA,,GERMANIA
23/08/43,SAN MICHELE AL TAGLIAMENTO,VE,
29/12/61,SAN MICHELE AL TAGLIAMENTO,VE,
22/01/93,SAN DONÀ DI PIAVE,VE,
13/09/27,SAN MICHELE AL TAGLIAMENTO,VE,
23/02/60,SAN MICHELE AL TAGLIAMENTO,VE,
09/02/63,GERMANIA,,GERMANIA
24/06/63,SAN MICHELE AL TAGLIAMENTO,VE,
21/05/69,SAN MICHELE AL TAGLIAMENTO,VE,
16/07/18,RIVIGNANO,UD,
03/03/70,CINTO CAOMAGGIORE,VE,
13/12/03,PORTOGRUARO,VE,
18/08/71,LATISANA,UD,
26/07/73,LATISANA,UD,
06/09/68,ALBAIRATE,MI,
10/06/69,LATISANA,UD,
09/06/75,LATISANA,UD,
11/08/53,SAN MICHELE AL TAGLIAMENTO,VE,
30/05/60,SAN MICHELE AL TAGLIAMENTO,VE,
01/03/50,SAN MICHELE AL TAGLIAMENTO,VE,
27/08/26,SAN MICHELE AL TAGLIAMENTO,VE,
08/05/08,LATISANA,UD,
01/10/62,CANADA,,CANADA
25/08/39,SAN MICHELE AL TAGLIAMENTO,VE,
13/03/43,SAN MICHELE AL TAGLIAMENTO,VE,
21/05/65,SAN MICHELE AL TAGLIAMENTO,VE,
11/02/67,LATISANA,UD,
15/04/69,LATISANA,UD,
29/09/69,LATISANA,UD,
21/04/71,LATISANA,UD,
20/04/52,PORTOGRUARO,VE,
18/04/75,LATISANA,UD,
18/04/75,LATISANA,UD,
18/04/75,LATISANA,UD,
01/10/11,MUZZANA DEL TURGNANO,UD,
15/08/63,MILANO,MI,
15/01/44,SAN MICHELE AL TAGLIAMENTO,VE,
02/07/14,BREDA DI PIAVE,TV,
02/06/74,OLTEN,,SVIZZERA
05/09/63,ARGENTINA,,ARGENTINA
14/04/59,SAN MICHELE AL TAGLIAMENTO,VE,
04/05/25,SAN MICHELE AL TAGLIAMENTO,VE,
18/07/13,FERRARA,FE,
12/02/50,SAN MICHELE AL TAGLIAMENTO,VE,
21/06/61,SAN MICHELE AL TAGLIAMENTO,VE,
28/02/61,BORGOMANERO,NO,
22/09/39,SAN MICHELE AL TAGLIAMENTO,VE,
23/10/02,LATISANA,UD,
29/04/28,SAN MICHELE AL TAGLIAMENTO,VE,
14/06/36,SAN MICHELE AL TAGLIAMENTO,VE,
28/05/68,PORTOGRUARO,VE,
20/01/76,SAN GIORGIO DI NOGARO,UD,
07/10/69,PIAZZOLA SUL BRENTA,PD,
06/09/74,LATISANA,UD,
06/09/74,LATISANA,UD,
01/11/76,LATISANA,UD,
01/11/76,LATISANA,UD,
21/02/71,LATISANA,UD,
11/07/40,SAN MICHELE AL TAGLIAMENTO,VE,
27/10/47,SAN MICHELE AL TAGLIAMENTO,VE,
07/04/48,SAN MICHELE AL TAGLIAMENTO,VE,
26/03/49,SAN MICHELE AL TAGLIAMENTO,VE,
16/07/74,LATISANA,UD,
14/11/42,MANSUÈ,TV,
30/01/61,FOSSALTA DI PORTOGRUARO,VE,
22/06/61,SAN MICHELE AL TAGLIAMENTO,VE,
09/06/82,LATISANA,UD,
09/06/82,LATISANA,UD,
05/06/79,MILANO,MI,
28/12/57,SAN MICHELE AL TAGLIAMENTO,VE,
19/08/80,LATISANA,UD,
16/11/82,MILANO,MI,
16/11/82,MILANO,MI,
05/05/45,SAN MICHELE AL TAGLIAMENTO,VE,
31/01/49,SAN MICHELE AL TAGLIAMENTO,VE,
23/06/70,LATISANA,UD,
11/11/72,LATISANA,UD,
14/09/54,SAN MICHELE AL TAGLIAMENTO,VE,
16/07/58,SAN MICHELE AL TAGLIAMENTO,VE,
08/06/81,TORINO,TO,
08/06/81,TORINO,TO,
14/01/60,AVIANO,PN,
03/04/20,LATISANA,UD,
01/11/44,SAN MICHELE AL TAGLIAMENTO,VE,
01/03/55,SAN MICHELE AL TAGLIAMENTO,VE,
20/09/75,LATISANA,UD,
15/06/69,SVIZZERA,,SVIZZERA
26/05/71,LATISANA,UD,
03/10/50,SAN MICHELE AL TAGLIAMENTO,VE,
28/04/78,LATISANA,UD,
12/07/79,LATISANA,UD,
06/01/81,LATISANA,UD,
06/01/81,LATISANA,UD,
06/01/81,LATISANA,UD,
01/01/73,CAMPLI,TE,
23/10/50,SAN MICHELE AL TAGLIAMENTO,VE,
27/07/77,VENEZIA,VE,
27/07/77,VENEZIA,VE,
30/10/61,RIVIGNANO,UD,
02/02/63,LATISANA,UD,
26/03/19,LATISANA,UD,
02/09/74,CONCORDIA SAGITTARIA,VE,
15/01/19,PRAMAGGIORE,VE,
14/03/62,SESTO AL REGHENA,PN,
22/08/61,SAN MICHELE AL TAGLIAMENTO,VE,
27/11/54,SAN STINO DI LIVENZA,VE,
19/02/64,SAN MICHELE AL TAGLIAMENTO,VE,
01/03/52,SANTA MARIA DI SALA,VE,
20/04/67,PORTOGRUARO,VE,
17/03/98,GERMANIA,,GERMANIA
10/05/69,LATISANA,UD,
12/09/64,RIVIGNANO,UD,
28/01/33,SAN MICHELE AL TAGLIAMENTO,VE,
13/10/62,SAN MICHELE AL TAGLIAMENTO,VE,
02/04/52,PORTOGRUARO,VE,
30/10/72,LATISANA,UD,
01/01/58,SAN MICHELE AL TAGLIAMENTO,VE,
22/06/78,LATISANA,UD,
14/08/63,LATISANA,UD,
31/10/55,SAN MICHELE AL TAGLIAMENTO,VE,
11/03/77,LATISANA,UD,
12/06/77,LATISANA,UD,
28/07/52,SAN MICHELE AL TAGLIAMENTO,VE,
23/07/40,SAN MICHELE AL TAGLIAMENTO,VE,
24/04/46,SAN MICHELE AL TAGLIAMENTO,VE,
01/05/56,SAN MICHELE AL TAGLIAMENTO,VE,
23/06/80,PORTOGRUARO,VE,
15/06/80,LATISANA,UD,
03/01/56,SAN MICHELE AL TAGLIAMENTO,VE,
02/10/59,SAN MICHELE AL TAGLIAMENTO,VE,
05/08/87,PADOVA,PD,
07/02/19,PADOVA,PD,
21/10/50,SAN MICHELE AL TAGLIAMENTO,VE,
20/04/11,VENEZIA,VE,
31/12/71,RONCHIS,UD,
31/12/71,RONCHIS,UD,
14/07/73,SAN VITO AL TAGLIAMENTO,PN,
31/12/71,RONCHIS,UD,
17/02/69,RONCHIS,UD,
17/02/69,RONCHIS,UD,
17/02/69,RONCHIS,UD,
24/02/74,LATISANA,UD,
07/09/53,SAN MICHELE AL TAGLIAMENTO,VE,
08/12/82,LATISANA,UD,
04/09/58,SAN MICHELE AL TAGLIAMENTO,VE,
29/08/60,LATISANA,UD,
28/01/64,PORTOGRUARO,VE,
08/03/68,LATISANA,UD,
09/05/70,LATISANA,UD,
11/11/74,LATISANA,UD,
07/10/31,SAN MICHELE AL TAGLIAMENTO,VE,
11/02/66,LATISANA,UD,
03/03/35,SAN MICHELE AL TAGLIAMENTO,VE,
12/04/63,SAN MICHELE AL TAGLIAMENTO,VE,
11/02/70,LATISANA,UD,
02/12/80,LATISANA,UD,
15/06/31,SAN MICHELE AL TAGLIAMENTO,VE,
12/08/64,LATISANA,UD,
09/07/68,LATISANA,UD,
04/03/69,BELGIO,,BELGIO
24/08/81,SAN DANIELE DEL FRIULI,UD,
20/02/08,COLLOREDO DI MONTE ALBANO,UD,
07/10/14,BRASILE,,BRASILE
06/06/52,SAN MICHELE AL TAGLIAMENTO,VE,
06/06/78,PORTOGRUARO,VE,
20/08/48,SAN MICHELE AL TAGLIAMENTO,VE,
02/06/31,SAN MICHELE AL TAGLIAMENTO,VE,
11/10/58,SAN MICHELE AL TAGLIAMENTO,VE,
27/02/88,PADOVA,PD,
24/06/65,LATISANA,UD,
07/08/39,SAN MICHELE AL TAGLIAMENTO,VE,
10/05/41,SAN MICHELE AL TAGLIAMENTO,VE,
21/08/69,LATISANA,UD,
25/06/75,RONCHIS,UD,
06/07/76,LATISANA,UD,
06/07/80,LATISANA,UD,
07/08/39,SAN MICHELE AL TAGLIAMENTO,VE,
05/11/54,PORTOGRUARO,VE,
16/06/67,LATISANA,UD,
09/09/71,LATISANA,UD,
25/09/50,SAN MICHELE AL TAGLIAMENTO,VE,
15/04/77,PALAZZOLO DELLO STELLA,UD,
26/01/78,LATISANA,UD,
26/09/33,SAN MICHELE AL TAGLIAMENTO,VE,
01/04/61,SAN MICHELE AL TAGLIAMENTO,VE,
07/04/83,MORSANO AL TAGLIAMENTO,PN,
23/02/38,SAN MICHELE AL TAGLIAMENTO,VE,
22/12/60,SAN MICHELE AL TAGLIAMENTO,VE,
18/12/62,SAN MICHELE AL TAGLIAMENTO,VE,
03/01/68,LATISANA,UD,
10/12/61,SAN MICHELE AL TAGLIAMENTO,VE,
01/11/62,SAN MICHELE AL TAGLIAMENTO,VE,
29/08/74,LATISANA,UD,
24/02/57,SAN MICHELE AL TAGLIAMENTO,VE,
16/03/76,LATISANA,UD,
01/10/63,VENEZIA,VE,
08/09/72,LAMEZIA TERME,CZ,
21/11/74,LATISANA,UD,
06/09/54,SAN MICHELE AL TAGLIAMENTO,VE,
18/02/44,SAN MICHELE AL TAGLIAMENTO,VE,
21/09/69,LATISANA,UD,
16/04/37,SAN MICHELE AL TAGLIAMENTO,VE,
14/10/62,SAN MICHELE AL TAGLIAMENTO,VE,
10/08/25,SAN MICHELE AL TAGLIAMENTO,VE,
30/07/50,SAN MICHELE AL TAGLIAMENTO,VE,
17/02/07,PORTOGRUARO,VE,
14/05/08,TEOR,UD,
06/10/64,LATISANA,UD,
20/03/42,SAN MICHELE AL TAGLIAMENTO,VE,
13/03/40,SAN MICHELE AL TAGLIAMENTO,VE,
24/11/72,TORINO,TO,
24/11/72,TORINO,TO,
05/09/81,LATISANA,UD,
22/09/38,VENEZIA,VE,
08/04/41,SAN MICHELE AL TAGLIAMENTO,VE,
06/12/63,SAN MICHELE AL TAGLIAMENTO,VE,
11/05/70,LATISANA,UD,
15/04/71,LATISANA,UD,
05/10/56,PORTOGRUARO,VE,
22/03/43,SAN MICHELE AL TAGLIAMENTO,VE,
06/10/65,LATISANA,UD,
25/04/69,PORTOGRUARO,VE,
16/05/45,SAN MICHELE AL TAGLIAMENTO,VE,
23/10/78,LATISANA,UD,
12/10/54,PORTOGRUARO,VE,
01/06/57,SAN MICHELE AL TAGLIAMENTO,VE,
03/05/48,SAN MICHELE AL TAGLIAMENTO,VE,
18/01/54,SAN MICHELE AL TAGLIAMENTO,VE,
16/05/71,LATISANA,UD,
24/11/72,LATISANA,UD,
30/05/70,SAN GIORGIO DELLA RICHINVELDA,PN,
21/02/20,SAN VITO AL TAGLIAMENTO,PN,
11/09/73,LATISANA,UD,
27/04/29,CAORLE,VE,
07/12/55,CAORLE,VE,
09/10/39,SAN MICHELE AL TAGLIAMENTO,VE,
13/11/64,OCCHIEPPO INFERIORE,BI,
01/11/59,FRANCIA,,FRANCIA
01/11/59,FRANCIA,,FRANCIA
05/11/54,PORTOGRUARO,VE,
12/06/74,STARANZANO,GO,
21/02/80,LATISANA,UD,
29/10/61,SAN MICHELE AL TAGLIAMENTO,VE,
15/04/69,BUSTO GAROLFO,MI,
29/01/71,LATISANA,UD,
25/03/70,LATISANA,UD,
10/11/76,LATISANA,UD,
26/02/58,SAN MICHELE AL TAGLIAMENTO,VE,
22/01/42,SAN MICHELE AL TAGLIAMENTO,VE,
03/01/69,PORTOGRUARO,VE,
24/05/29,SAN MICHELE AL TAGLIAMENTO,VE,
24/06/61,LATISANA,UD,
28/07/28,SAN MICHELE AL TAGLIAMENTO,VE,
25/03/59,SAN MICHELE AL TAGLIAMENTO,VE,
08/08/59,SAN MICHELE AL TAGLIAMENTO,VE,
18/08/40,SAN MICHELE AL TAGLIAMENTO,VE,
27/06/64,LATISANA,UD,
17/05/93,LATISANA,UD,
16/12/71,LATISANA,UD,
24/10/33,SAN MICHELE AL TAGLIAMENTO,VE,
23/07/59,SAN MICHELE AL TAGLIAMENTO,VE,
08/03/64,LATISANA,UD,
11/04/35,SAN MICHELE AL TAGLIAMENTO,VE,
21/12/35,SAN MICHELE AL TAGLIAMENTO,VE,
06/10/65,LATISANA,UD,
27/07/47,SAN MICHELE AL TAGLIAMENTO,VE,
25/09/78,LATISANA,UD,
27/05/29,SAN MICHELE AL TAGLIAMENTO,VE,
06/09/60,SAN MICHELE AL TAGLIAMENTO,VE,
01/05/40,SAN MICHELE AL TAGLIAMENTO,VE,
12/09/63,LATISANA,UD,
27/09/63,LATISANA,UD,
14/03/63,LATISANA,UD,
14/05/38,SAN MICHELE AL TAGLIAMENTO,VE,
13/02/62,SAN MICHELE AL TAGLIAMENTO,VE,
18/08/63,LATISANA,UD,
05/09/80,TREVISO,TV,
05/09/80,TREVISO,TV,
03/06/37,SAN MICHELE AL TAGLIAMENTO,VE,
26/01/63,PORTOGRUARO,VE,
06/02/70,LATISANA,UD,
21/01/80,PORTOGRUARO,VE,
21/01/80,PORTOGRUARO,VE,
10/04/64,SAN MICHELE AL TAGLIAMENTO,VE,
21/06/89,MUZZANA DEL TURGNANO,UD,
09/02/54,SAN MICHELE AL TAGLIAMENTO,VE,
24/09/77,LATISANA,UD,
20/11/06,LATISANA,UD,
19/11/57,SAN MICHELE AL TAGLIAMENTO,VE,
10/02/60,SAN MICHELE AL TAGLIAMENTO,VE,
24/01/58,PRECENICCO,UD,
05/01/68,LATISANA,UD,
24/02/57,SAN MICHELE AL TAGLIAMENTO,VE,
30/09/71,BEINASCO,TO,
23/05/73,BEINASCO,TO,
14/07/59,SAN MICHELE AL TAGLIAMENTO,VE,
11/12/80,CORMONS,GO,
18/10/60,SAN MICHELE AL TAGLIAMENTO,VE,
16/02/62,SAN MICHELE AL TAGLIAMENTO,VE,
30/07/64,SAN MICHELE AL TAGLIAMENTO,VE,
01/12/69,LATISANA,UD,
23/03/44,SAN MICHELE AL TAGLIAMENTO,VE,
09/03/48,SAN MICHELE AL TAGLIAMENTO,VE,
08/09/49,SAN MICHELE AL TAGLIAMENTO,VE,
15/10/76,MAIORI,SA,
12/08/77,LATISANA,UD,
18/03/60,PORTOGRUARO,VE,
01/10/60,SAN MICHELE AL TAGLIAMENTO,VE,
13/08/65,LATISANA,UD,
13/09/59,SAN MICHELE AL TAGLIAMENTO,VE,
16/02/66,LATISANA,UD,
21/12/82,LATISANA,UD,
30/09/60,LATISANA,UD,
30/09/60,LATISANA,UD,
09/07/67,BORDANO,UD,
01/02/92,VICENZA,VI,
16/08/69,PORTOGRUARO,VE,
26/12/79,LATISANA,UD,
03/06/72,LATISANA,UD,
07/02/53,SAN MICHELE AL TAGLIAMENTO,VE,
20/05/73,LATISANA,UD,
05/09/56,SAN MICHELE AL TAGLIAMENTO,VE,
09/08/51,ANNONE VENETO,VE,
05/11/68,LATISANA,UD,
10/05/86,LIGNANO SABBIADORO,UD,
28/07/69,LATISANA,UD,
28/11/09,LATISANA,UD,
21/01/83,BRINDISI,BR,
10/03/83,LATISANA,UD,
13/07/60,SAN MICHELE AL TAGLIAMENTO,VE,
01/06/66,LATISANA,UD,
29/11/55,LATISANA,UD,
05/07/66,LATISANA,UD,
24/11/76,SAN STINO DI LIVENZA,VE,
06/09/56,SAN MICHELE AL TAGLIAMENTO,VE,
17/11/65,SEDEGLIANO,UD,
17/11/65,BASILIANO,UD,
22/08/66,LATISANA,UD,
09/10/32,SAN MICHELE AL TAGLIAMENTO,VE,
20/04/74,LATISANA,UD,
10/08/70,SALISBURY,,REGNO UNITO
29/12/31,SAN MICHELE AL TAGLIAMENTO,VE,
02/12/74,TEOR,UD,
20/09/55,SAN MICHELE AL TAGLIAMENTO,VE,
31/12/65,LATISANA,UD,
15/09/63,SVIZZERA,,SVIZZERA
02/05/66,LATISANA,UD,
04/11/54,SAN MICHELE AL TAGLIAMENTO,VE,
11/04/41,SAN MICHELE AL TAGLIAMENTO,VE,
04/01/62,SAN MICHELE AL TAGLIAMENTO,VE,
26/07/66,LATISANA,UD,
02/01/80,CASTEGGIO,PV,
02/01/80,CASTEGGIO,PV,
24/06/78,LATISANA,UD,
04/05/48,SAN MICHELE AL TAGLIAMENTO,VE,
22/11/76,LATISANA,UD,
22/05/58,SAN MICHELE AL TAGLIAMENTO,VE,
28/08/67,SAN MICHELE AL TAGLIAMENTO,VE,
29/03/40,SAN MICHELE AL TAGLIAMENTO,VE,
01/02/71,LATISANA,UD,
06/12/74,LATISANA,UD,
18/11/74,PALAZZOLO DELLO STELLA,UD,
18/11/74,PALAZZOLO DELLO STELLA,UD,
03/04/99,CINTO CAOMAGGIORE,VE,
16/12/71,PALAZZOLO DELLO STELLA,UD,
29/04/73,LATISANA,UD,
30/05/75,LATISANA,UD,
10/09/34,SAN MICHELE AL TAGLIAMENTO,VE,
24/10/09,LATISANA,UD,
08/04/56,SAN MICHELE AL TAGLIAMENTO,VE,
14/02/62,SAN MICHELE AL TAGLIAMENTO,VE,
01/09/60,CONCORDIA SAGITTARIA,VE,
01/09/60,CONCORDIA SAGITTARIA,VE,
01/09/60,CONCORDIA SAGITTARIA,VE,
27/11/51,SAN MICHELE AL TAGLIAMENTO,VE,
17/06/75,SPILIMBERGO,PN,
06/03/78,LATISANA,UD,
09/11/68,MONZA,MI,
09/11/68,MONZA,MI,
12/02/69,LATISANA,UD,
21/06/40,SAN MICHELE AL TAGLIAMENTO,VE,
12/01/44,SAN MICHELE AL TAGLIAMENTO,VE,
30/06/65,LATISANA,UD,
24/07/38,SAN MICHELE AL TAGLIAMENTO,VE,
09/02/80,TRIESTE,TS,
06/12/49,SAN MICHELE AL TAGLIAMENTO,VE,
06/01/68,PORTOGRUARO,VE,
07/07/46,SAN MICHELE AL TAGLIAMENTO,VE,
07/05/71,UDINE,UD,
28/09/75,LATISANA,UD,
15/11/62,MUSILE DI PIAVE,VE,
28/04/58,SAN MICHELE AL TAGLIAMENTO,VE,
23/02/59,LATISANA,UD,
18/02/74,TEOR,UD,
10/12/57,TRIESTE,TS,
29/06/74,LATISANA,UD,
27/04/77,LATISANA,UD,
09/11/62,RAGOGNA,UD,
14/07/63,LATISANA,UD,
23/01/89,LIGNANO SABBIADORO,UD,
10/02/59,SAN MICHELE AL TAGLIAMENTO,VE,
05/06/62,SAN MICHELE AL TAGLIAMENTO,VE,
03/09/83,BUDONI,NU,
03/09/83,BUDONI,NU,
20/06/47,SAN MICHELE AL TAGLIAMENTO,VE,
09/10/00,FOSSALTA DI PORTOGRUARO,VE,
05/05/77,LATISANA,UD,
25/01/35,SAN MICHELE AL TAGLIAMENTO,VE,
07/02/61,SAN MICHELE AL TAGLIAMENTO,VE,
15/04/50,SAN MICHELE AL TAGLIAMENTO,VE,
28/08/44,SAN MICHELE AL TAGLIAMENTO,VE,
10/07/13,LATISANA,UD,
25/06/76,RIVE D'ARCANO,UD,
25/06/76,RIVE D'ARCANO,UD,
25/06/76,RIVE D'ARCANO,UD,
27/09/76,BAGHERIA,PA,
27/09/76,BAGHERIA,PA,
27/09/76,BAGHERIA,PA,
28/03/67,MILANO,MI,
24/02/11,TEGLIO VENETO,VE,
09/03/64,SAN GIORGIO DI NOGARO,UD,
02/08/46,SAN MICHELE AL TAGLIAMENTO,VE,
02/09/47,SAN MICHELE AL TAGLIAMENTO,VE,
06/07/80,LATISANA,UD,
20/03/39,SAN MICHELE AL TAGLIAMENTO,VE,
27/12/72,SVIZZERA,,SVIZZERA
29/10/73,USTER,,SVIZZERA
25/07/75,USTER,,SVIZZERA
08/03/34,SAN MICHELE AL TAGLIAMENTO,VE,
06/09/36,LATISANA,UD,
08/10/61,SAN MICHELE AL TAGLIAMENTO,VE,
16/02/72,LATISANA,UD,
08/03/75,LATISANA,UD,
12/07/41,SAN MICHELE AL TAGLIAMENTO,VE,
30/07/76,CAMPOSAMPIERO,PD,
23/08/47,SAN MICHELE AL TAGLIAMENTO,VE,
09/11/66,LATISANA,UD,
28/11/74,LATISANA,UD,
14/06/42,SAN MICHELE AL TAGLIAMENTO,VE,
09/04/47,SAN MICHELE AL TAGLIAMENTO,VE,
22/01/66,LATISANA,UD,
04/07/73,LATISANA,UD,
03/10/47,LATISANA,UD,
27/03/50,SAN MICHELE AL TAGLIAMENTO,VE,
20/11/54,LONIGO,VI,
20/11/54,LONIGO,VI,
30/06/83,LIGNANO SABBIADORO,UD,
30/06/83,LIGNANO SABBIADORO,UD,
30/06/83,LIGNANO SABBIADORO,UD,
30/01/24,SAN MICHELE AL TAGLIAMENTO,VE,
04/03/30,SAN MICHELE AL TAGLIAMENTO,VE,
20/11/25,SAN MICHELE AL TAGLIAMENTO,VE,
21/10/27,SAN MICHELE AL TAGLIAMENTO,VE,
29/01/53,SAN MICHELE AL TAGLIAMENTO,VE,
17/03/58,SAN MICHELE AL TAGLIAMENTO,VE,
04/11/55,SAN MICHELE AL TAGLIAMENTO,VE,
03/11/42,LATISANA,UD,
22/02/61,SAN MICHELE AL TAGLIAMENTO,VE,
22/11/65,FOSSALTA DI PORTOGRUARO,VE,
18/11/70,PORTOGRUARO,VE,
10/03/71,PORTOGRUARO,VE,
24/10/03,LATISANA,UD,
01/05/61,UDINE,UD,
01/04/70,LATISANA,UD,
12/05/15,,,
08/10/57,SAN MICHELE AL TAGLIAMENTO,VE,
04/12/44,SAN MICHELE AL TAGLIAMENTO,VE,
30/12/67,VARMO,UD,
23/07/14,PORTOGRUARO,VE,
03/08/56,SAN MICHELE AL TAGLIAMENTO,VE,
10/01/61,SAN MICHELE AL TAGLIAMENTO,VE,
26/01/69,LATISANA,UD,
09/12/63,PORTOGRUARO,VE,
24/02/68,LATISANA,UD,
01/07/44,SAN MICHELE AL TAGLIAMENTO,VE,
12/08/70,LATISANA,UD,
09/10/37,SAN MICHELE AL TAGLIAMENTO,VE,
17/12/37,LATISANA,UD,
16/10/64,LATISANA,UD,
10/09/66,LATISANA,UD,
06/03/38,SAN MICHELE AL TAGLIAMENTO,VE,
08/12/60,LATISANA,UD,
27/06/07,CONEGLIANO,TV,
04/05/45,SAN MICHELE AL TAGLIAMENTO,VE,
14/08/50,SAN MICHELE AL TAGLIAMENTO,VE,
21/07/73,LATISANA,UD,
10/03/79,LATISANA,UD,
18/11/39,PORTO TOLLE,RO,
14/05/63,SAN MICHELE AL TAGLIAMENTO,VE,
30/12/37,SAN MICHELE AL TAGLIAMENTO,VE,
17/01/56,SAN MICHELE AL TAGLIAMENTO,VE,
12/10/81,CONCORDIA SAGITTARIA,VE,
28/01/29,SAN MICHELE AL TAGLIAMENTO,VE,
01/03/57,SAN MICHELE AL TAGLIAMENTO,VE,
08/09/81,SAN CANZIAN D'ISONZO,GO,
17/05/30,SAN MICHELE AL TAGLIAMENTO,VE,
29/05/61,SAN MICHELE AL TAGLIAMENTO,VE,
01/06/35,SAN MICHELE AL TAGLIAMENTO,VE,
17/05/93,LATISANA,UD,
11/04/48,SAN MICHELE AL TAGLIAMENTO,VE,
02/02/78,LATISANA,UD,
09/04/29,SAN MICHELE AL TAGLIAMENTO,VE,
24/10/29,SAN MICHELE AL TAGLIAMENTO,VE,
09/08/72,ZOPPOLA,PN,
02/08/62,TAURASI,AV,
07/09/63,LATISANA,UD,
04/04/06,TALMASSONS,UD,
29/07/51,SAN MICHELE AL TAGLIAMENTO,VE,
28/05/76,RAGOGNA,UD,
21/02/77,LATISANA,UD,
